股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
600299,7.89,7.92,42.5%,66.7%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,安迪苏
002139,9.82,9.79,29.5%,51.7%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,拓邦股份
002892,9.5,9.52,43.4%,52.2%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,科力尔
600379,13.03,12.68,44.7%,51.9%,80,建议观察，待放量确认,宝光股份
605377,8.8,8.66,35.9%,51.6%,80,建议观察，待放量确认,华旺科技
