date,code,name,price,pct_chg,amount_M,turnover,vol_ratio,ma20_slope,rsi_14,kdj_j,bias_ma5,boll_pct,amplitude
2026-05-22,600458,时代新材,12.88,7.33,486.51,4.48,2.62,0.424,64.97,54.66,4.68,104.1,10.25
2026-05-22,002823,凯中精密,17.69,10.01,365.66,9.76,3.14,0.555,65.38,60.37,6.34,114.19,10.88
2026-05-22,603223,恒通股份,10.7,9.97,354.56,4.78,2.9,0.848,73.61,104.72,7.86,130.44,10.69
2026-05-22,605500,森林包装,10.88,10.01,351.6,8.06,4.1,0.894,92.72,100.8,8.97,136.39,13.04
