代码,名称,调整天数,单阳日,现价,筛选时间,类型
603637,镇海股份,5,2026-06-05,18.1,2026-06-16 13:10:53,中势型
600996,贵广网络,5,2026-06-05,8.86,2026-06-16 13:10:53,中势型
002674,兴业科技,4,2026-06-08,16.0,2026-06-16 13:10:53,中势型
600736,苏州高新,4,2026-06-08,7.94,2026-06-16 13:10:53,中势型
605228,神通科技,3,2026-06-09,13.5,2026-06-16 13:10:53,强势型
600458,时代新材,3,2026-06-09,15.67,2026-06-16 13:10:53,强势型
600186,莲花控股,3,2026-06-09,11.57,2026-06-16 13:10:53,强势型
002167,东方锆业,3,2026-06-09,14.2,2026-06-16 13:10:53,强势型
000025,特  力Ａ,2,2026-06-10,15.22,2026-06-16 13:10:53,强势型
601012,隆基绿能,2,2026-06-10,13.46,2026-06-16 13:10:53,强势型
001239,永达股份,1,2026-06-11,13.91,2026-06-16 13:10:53,强势型
000422,湖北宜化,1,2026-06-11,13.65,2026-06-16 13:10:53,强势型
603065,宿迁联盛,1,2026-06-11,13.6,2026-06-16 13:10:53,强势型
