代码,名称,调整天数,单阳日,现价,筛选时间,类型
002348,高乐股份,5,2026-03-04,8.89,2026-03-12 09:08:23,中势型
600722,金牛化工,5,2026-03-04,14.0,2026-03-12 09:08:23,中势型
603132,金徽股份,5,2026-03-04,18.32,2026-03-12 09:08:23,中势型
002121,科陆电子,5,2026-03-04,10.06,2026-03-12 09:08:23,中势型
002440,闰土股份,5,2026-03-04,14.79,2026-03-12 09:08:23,中势型
002923,润都股份,5,2026-03-04,16.02,2026-03-12 09:08:23,中势型
601611,中国核建,4,2026-03-05,17.28,2026-03-12 09:08:23,中势型
600516,方大炭素,4,2026-03-05,6.95,2026-03-12 09:08:23,中势型
002382,蓝帆医疗,4,2026-03-05,6.79,2026-03-12 09:08:23,中势型
600452,涪陵电力,4,2026-03-05,16.05,2026-03-12 09:08:23,中势型
002350,北京科锐,4,2026-03-05,15.54,2026-03-12 09:08:23,中势型
002405,四维图新,4,2026-03-05,10.99,2026-03-12 09:08:23,中势型
002962,五方光电,4,2026-03-05,15.76,2026-03-12 09:08:23,中势型
603237,五芳斋,4,2026-03-05,17.37,2026-03-12 09:08:23,中势型
002106,莱宝高科,4,2026-03-05,12.56,2026-03-12 09:08:23,中势型
002745,木林森,4,2026-03-05,8.99,2026-03-12 09:08:23,中势型
600773,西藏城投,4,2026-03-05,17.28,2026-03-12 09:08:23,中势型
002513,蓝丰生化,3,2026-03-06,7.26,2026-03-12 09:08:23,强势型
603915,国茂股份,3,2026-03-06,17.0,2026-03-12 09:08:23,强势型
600354,敦煌种业,3,2026-03-06,7.66,2026-03-12 09:08:23,强势型
002068,黑猫股份,2,2026-03-09,9.77,2026-03-12 09:08:23,强势型
603088,宁波精达,1,2026-03-10,13.25,2026-03-12 09:08:23,强势型
