代码,名称,调整天数,单阳日,现价,筛选时间,类型
000039,中集集团,5,2026-02-26,13.46,2026-03-06 09:03:35,中势型
600172,黄河旋风,5,2026-02-26,9.9,2026-03-06 09:03:35,中势型
002348,高乐股份,4,2026-02-27,8.15,2026-03-06 09:03:35,中势型
600644,乐山电力,4,2026-02-27,13.67,2026-03-06 09:03:35,中势型
603269,海鸥股份,4,2026-02-27,15.4,2026-03-06 09:03:35,中势型
603070,万控智造,4,2026-02-27,16.89,2026-03-06 09:03:35,中势型
000600,建投能源,4,2026-02-27,9.47,2026-03-06 09:03:35,中势型
603618,杭电股份,2,2026-02-27,18.72,2026-03-06 09:03:35,强势型
002207,准油股份,1,2026-03-02,13.66,2026-03-06 09:03:35,强势型
002828,贝肯能源,1,2026-03-02,16.37,2026-03-06 09:03:35,强势型
