代码,名称,调整天数,单阳日,现价,筛选时间,类型
600604,市北高新,5,2026-03-20,5.5,2026-03-30 09:54:58,中势型
601133,柏诚股份,5,2026-03-20,18.3,2026-03-30 09:54:58,中势型
000670,盈方微,5,2026-03-20,8.98,2026-03-30 09:54:58,中势型
605050,福然德,5,2026-03-20,14.66,2026-03-30 09:54:58,中势型
000990,诚志股份,4,2026-03-23,10.41,2026-03-30 09:54:58,中势型
601666,平煤股份,4,2026-03-23,8.61,2026-03-30 09:54:58,中势型
002840,华统股份,4,2026-03-23,11.36,2026-03-30 09:54:58,中势型
002575,群兴玩具,4,2026-03-23,8.9,2026-03-30 09:54:58,中势型
000422,湖北宜化,4,2026-03-23,17.27,2026-03-30 09:54:58,中势型
603687,大胜达,4,2026-03-23,15.63,2026-03-30 09:54:58,中势型
002571,德力股份,3,2026-03-24,11.42,2026-03-30 09:54:58,强势型
002188,中天服务,3,2026-03-24,6.69,2026-03-30 09:54:58,强势型
600773,西藏城投,3,2026-03-24,19.7,2026-03-30 09:54:58,强势型
600538,国发股份,3,2026-03-24,6.6,2026-03-30 09:54:58,强势型
000039,中集集团,3,2026-03-24,11.22,2026-03-30 09:54:58,强势型
600490,鹏欣资源,3,2026-03-24,7.54,2026-03-30 09:54:58,强势型
002271,东方雨虹,3,2026-03-24,15.33,2026-03-30 09:54:58,强势型
000593,德龙汇能,3,2026-03-24,15.33,2026-03-30 09:54:58,强势型
002345,潮宏基,3,2026-03-24,10.45,2026-03-30 09:54:58,强势型
000811,冰轮环境,3,2026-03-24,18.1,2026-03-30 09:54:58,强势型
600686,金龙汽车,3,2026-03-24,17.66,2026-03-30 09:54:58,强势型
600192,长城电工,3,2026-03-24,8.82,2026-03-30 09:54:58,强势型
002963,豪尔赛,3,2026-03-24,14.79,2026-03-30 09:54:58,强势型
600499,科达制造,3,2026-03-24,16.8,2026-03-30 09:54:58,强势型
002719,麦趣尔,3,2026-03-24,9.17,2026-03-30 09:54:58,强势型
603885,吉祥航空,2,2026-03-25,12.0,2026-03-30 09:54:58,强势型
603798,康普顿,2,2026-03-25,13.88,2026-03-30 09:54:58,强势型
600152,维科技术,2,2026-03-25,10.42,2026-03-30 09:54:58,强势型
002634,棒杰股份,2,2026-03-25,7.39,2026-03-30 09:54:58,强势型
605555,德昌股份,1,2026-03-26,16.81,2026-03-30 09:54:58,强势型
