代码,名称,调整天数,单阳日,现价,筛选时间,类型
600623,华谊集团,5,2026-04-07,9.96,2026-04-17 09:53:49,中势型
002319,乐通股份,5,2026-04-07,11.54,2026-04-17 09:53:49,中势型
002386,天原股份,5,2026-04-07,6.38,2026-04-17 09:53:49,中势型
605399,晨光新材,5,2026-04-07,15.08,2026-04-17 09:53:49,中势型
002556,辉隆股份,5,2026-04-07,6.11,2026-04-17 09:53:49,中势型
002165,红 宝 丽,5,2026-04-07,9.89,2026-04-17 09:53:49,中势型
000695,滨海能源,5,2026-04-07,14.39,2026-04-17 09:53:49,中势型
600444,国机通用,5,2026-04-07,17.87,2026-04-17 09:53:49,中势型
600299,安迪苏,5,2026-04-07,15.17,2026-04-17 09:53:49,中势型
000823,超声电子,5,2026-04-09,15.86,2026-04-17 09:53:49,中势型
002576,通达动力,5,2026-04-07,19.02,2026-04-17 09:53:49,中势型
002234,民和股份,5,2026-04-07,8.68,2026-04-17 09:53:49,中势型
002136,安 纳 达,5,2026-04-07,12.69,2026-04-17 09:53:49,中势型
600610,中毅达,5,2026-04-07,9.22,2026-04-17 09:53:49,中势型
603113,金能科技,5,2026-04-07,7.53,2026-04-17 09:53:49,中势型
002702,海欣食品,5,2026-04-07,5.63,2026-04-17 09:53:49,中势型
603477,巨星农牧,5,2026-04-07,18.74,2026-04-17 09:53:49,中势型
601226,华电科工,4,2026-04-08,9.27,2026-04-17 09:53:49,中势型
600232,金鹰股份,4,2026-04-10,8.79,2026-04-17 09:53:49,中势型
603887,城地香江,4,2026-04-08,16.4,2026-04-17 09:53:49,中势型
002225,濮耐股份,4,2026-04-08,5.66,2026-04-17 09:53:49,中势型
600748,上实发展,4,2026-04-08,5.28,2026-04-17 09:53:49,中势型
000555,神州信息,4,2026-04-08,15.36,2026-04-17 09:53:49,中势型
600120,浙江东方,4,2026-04-08,5.68,2026-04-17 09:53:49,中势型
002369,卓翼科技,4,2026-04-08,7.32,2026-04-17 09:53:49,中势型
000917,电广传媒,4,2026-04-08,9.94,2026-04-17 09:53:49,中势型
002167,东方锆业,4,2026-04-08,12.89,2026-04-17 09:53:49,中势型
000559,万向钱潮,4,2026-04-10,16.54,2026-04-17 09:53:49,中势型
002279,久其软件,4,2026-04-08,8.27,2026-04-17 09:53:49,中势型
002065,东华软件,4,2026-04-08,8.43,2026-04-17 09:53:49,中势型
002777,久远银海,4,2026-04-08,16.56,2026-04-17 09:53:49,中势型
000878,云南铜业,4,2026-04-08,19.51,2026-04-17 09:53:49,中势型
601789,宁波建工,4,2026-04-08,5.68,2026-04-17 09:53:49,中势型
603993,洛阳钼业,4,2026-04-08,19.56,2026-04-17 09:53:49,中势型
600633,浙数文化,4,2026-04-08,12.76,2026-04-17 09:53:49,中势型
002291,遥望科技,4,2026-04-08,6.5,2026-04-17 09:53:49,中势型
002243,力合科创,4,2026-04-08,8.85,2026-04-17 09:53:49,中势型
600590,泰豪科技,4,2026-04-08,15.09,2026-04-17 09:53:49,中势型
002121,科陆电子,4,2026-04-08,7.77,2026-04-17 09:53:49,中势型
000610,西安旅游,4,2026-04-08,8.62,2026-04-17 09:53:49,中势型
002063,远光软件,4,2026-04-08,6.4,2026-04-17 09:53:49,中势型
000837,秦川机床,4,2026-04-08,10.96,2026-04-17 09:53:49,中势型
002609,捷顺科技,4,2026-04-08,8.43,2026-04-17 09:53:49,中势型
601179,中国西电,4,2026-04-08,16.2,2026-04-17 09:53:49,中势型
002494,华斯股份,4,2026-04-08,5.29,2026-04-17 09:53:49,中势型
002527,新时达,4,2026-04-08,13.93,2026-04-17 09:53:49,中势型
002454,松芝股份,4,2026-04-08,10.48,2026-04-17 09:53:49,中势型
603386,骏亚科技,4,2026-04-08,14.18,2026-04-17 09:53:49,中势型
002459,晶澳科技,4,2026-04-08,11.03,2026-04-17 09:53:49,中势型
000030,富奥股份,4,2026-04-08,5.19,2026-04-17 09:53:49,中势型
002448,中原内配,4,2026-04-08,15.55,2026-04-17 09:53:49,中势型
601609,金田股份,4,2026-04-08,10.37,2026-04-17 09:53:49,中势型
002452,长高电新,4,2026-04-08,10.75,2026-04-17 09:53:49,中势型
601611,中国核建,4,2026-04-08,14.17,2026-04-17 09:53:49,中势型
