代码,名称,调整天数,单阳日,现价,筛选时间,类型
000567,海德股份,5,2026-04-13,5.39,2026-04-21 09:59:22,中势型
002201,九鼎新材,5,2026-04-13,12.66,2026-04-21 09:59:22,中势型
605189,富春染织,5,2026-04-13,17.95,2026-04-21 09:59:22,中势型
000987,越秀资本,5,2026-04-13,8.97,2026-04-21 09:59:22,中势型
600714,金瑞矿业,5,2026-04-13,18.88,2026-04-21 09:59:22,中势型
600929,雪天盐业,5,2026-04-13,7.22,2026-04-21 09:59:22,中势型
600246,万通发展,5,2026-04-13,9.78,2026-04-21 09:59:22,中势型
603995,甬金股份,5,2026-04-13,18.33,2026-04-21 09:59:22,中势型
002560,通达股份,5,2026-04-13,15.27,2026-04-21 09:59:22,中势型
600969,郴电国际,5,2026-04-13,10.16,2026-04-21 09:59:22,中势型
002953,日丰股份,4,2026-04-14,12.51,2026-04-21 09:59:22,中势型
600667,太极实业,4,2026-04-14,10.02,2026-04-21 09:59:22,中势型
000682,东方电子,4,2026-04-14,13.24,2026-04-21 09:59:22,中势型
600172,黄河旋风,4,2026-04-14,8.96,2026-04-21 09:59:22,中势型
603158,腾龙股份,4,2026-04-14,13.57,2026-04-21 09:59:22,中势型
002051,中工国际,4,2026-04-14,11.97,2026-04-21 09:59:22,中势型
002856,美芝股份,4,2026-04-14,11.82,2026-04-21 09:59:22,中势型
002582,好想你,4,2026-04-14,12.39,2026-04-21 09:59:22,中势型
002840,华统股份,3,2026-04-15,13.49,2026-04-21 09:59:22,强势型
601179,中国西电,3,2026-04-15,18.22,2026-04-21 09:59:22,强势型
000026,飞亚达,3,2026-04-15,17.8,2026-04-21 09:59:22,强势型
001896,豫能控股,3,2026-04-15,18.79,2026-04-21 09:59:22,强势型
600284,浦东建设,2,2026-04-16,7.58,2026-04-21 09:59:22,强势型
002491,通鼎互联,2,2026-04-16,16.64,2026-04-21 09:59:22,强势型
605336,帅丰电器,2,2026-04-16,15.33,2026-04-21 09:59:22,强势型
600507,方大特钢,2,2026-04-16,6.06,2026-04-21 09:59:22,强势型
002515,金字火腿,1,2026-04-17,6.39,2026-04-21 09:59:22,强势型
002297,博云新材,1,2026-04-17,19.46,2026-04-21 09:59:22,强势型
600156,华升股份,1,2026-04-17,10.19,2026-04-21 09:59:22,强势型
002418,康盛股份,1,2026-04-17,6.81,2026-04-21 09:59:22,强势型
600707,彩虹股份,1,2026-04-17,8.57,2026-04-21 09:59:22,强势型
