代码,名称,调整天数,单阳日,现价,筛选时间,类型
002783,凯龙股份,5,2026-06-26,7.47,2026-07-05 10:36:41,中势型
603858,步长制药,4,2026-06-29,15.3,2026-07-05 10:36:41,中势型
002014,永新股份,4,2026-06-29,11.07,2026-07-05 10:36:41,中势型
603367,辰欣药业,4,2026-06-29,14.01,2026-07-05 10:36:41,中势型
002603,以岭药业,4,2026-06-29,15.62,2026-07-05 10:36:41,中势型
002739,万达电影,4,2026-06-29,9.79,2026-07-05 10:36:41,中势型
600595,中孚实业,4,2026-06-29,5.91,2026-07-05 10:36:41,中势型
002100,天康生物,4,2026-06-29,6.48,2026-07-05 10:36:41,中势型
600587,新华医疗,4,2026-06-29,12.42,2026-07-05 10:36:41,中势型
603707,健友股份,4,2026-06-29,7.64,2026-07-05 10:36:41,中势型
600867,通化东宝,4,2026-06-29,8.23,2026-07-05 10:36:41,中势型
002011,盾安环境,4,2026-06-29,10.77,2026-07-05 10:36:41,中势型
600679,上海凤凰,4,2026-06-29,9.2,2026-07-05 10:36:41,中势型
600062,华润双鹤,4,2026-06-29,17.07,2026-07-05 10:36:41,中势型
002180,纳思达,4,2026-06-29,16.37,2026-07-05 10:36:41,中势型
002559,亚威股份,4,2026-06-29,14.24,2026-07-05 10:36:41,中势型
605177,东亚药业,4,2026-06-29,17.86,2026-07-05 10:36:41,中势型
002541,鸿路钢构,4,2026-06-29,18.3,2026-07-05 10:36:41,中势型
000625,长安汽车,4,2026-06-29,7.24,2026-07-05 10:36:41,中势型
002890,弘宇股份,4,2026-06-29,15.93,2026-07-05 10:36:41,中势型
002349,精华制药,4,2026-06-29,6.55,2026-07-05 10:36:41,中势型
600539,狮头股份,3,2026-06-30,16.83,2026-07-05 10:36:41,强势型
002615,哈尔斯,3,2026-06-30,7.78,2026-07-05 10:36:41,强势型
000017,深中华A,3,2026-06-30,6.09,2026-07-05 10:36:41,强势型
600846,同济科技,3,2026-06-30,10.93,2026-07-05 10:36:41,强势型
601369,陕鼓动力,2,2026-06-26,9.05,2026-07-05 10:36:41,强势型
600661,昂立教育,2,2026-07-01,7.54,2026-07-05 10:36:41,强势型
001324,长青科技,2,2026-07-01,19.95,2026-07-05 10:36:41,强势型
000925,众合科技,2,2026-07-01,9.76,2026-07-05 10:36:41,强势型
002550,千红制药,2,2026-07-01,6.84,2026-07-05 10:36:41,强势型
000990,诚志股份,2,2026-07-01,8.85,2026-07-05 10:36:41,强势型
600955,维远股份,2,2026-07-01,15.81,2026-07-05 10:36:41,强势型
002889,东方嘉盛,2,2026-07-01,11.28,2026-07-05 10:36:41,强势型
600366,宁波韵升,2,2026-07-01,16.83,2026-07-05 10:36:41,强势型
002423,中粮资本,2,2026-07-01,9.0,2026-07-05 10:36:41,强势型
000506,招金黄金,1,2026-07-02,13.87,2026-07-05 10:36:41,强势型
002392,北京利尔,1,2026-07-02,8.74,2026-07-05 10:36:41,强势型
603928,兴业股份,1,2026-07-02,14.7,2026-07-05 10:36:41,强势型
605189,富春染织,1,2026-07-02,16.05,2026-07-05 10:36:41,强势型
