代码,名称,调整天数,单阳日,现价,筛选时间,类型
600873,梅花生物,5,2026-07-02,8.13,2026-07-10 11:24:32,中势型
001322,箭牌家居,5,2026-07-02,6.35,2026-07-10 11:24:32,中势型
603848,好太太,4,2026-07-03,14.4,2026-07-10 11:24:32,中势型
000039,中集集团,4,2026-07-03,8.08,2026-07-10 11:24:32,中势型
002319,乐通股份,4,2026-07-03,11.32,2026-07-10 11:24:32,中势型
603903,中持股份,3,2026-07-06,16.15,2026-07-10 11:24:32,强势型
002129,TCL中环,2,2026-07-07,11.03,2026-07-10 11:24:32,强势型
002617,露笑科技,2,2026-07-07,9.38,2026-07-10 11:24:32,强势型
003013,地铁设计,1,2026-07-08,15.9,2026-07-10 11:24:32,强势型
002677,浙江美大,1,2026-07-08,7.23,2026-07-10 11:24:32,强势型
