代码,名称,调整天数,单阳日,现价,筛选时间,类型
688432,有研硅,5,2026-01-16,14.37,2026-02-27 09:07:21,中势型
688597,煜邦电力,5,2026-01-16,9.92,2026-02-27 09:07:21,中势型
688096,京源环保,5,2026-01-15,9.35,2026-02-27 09:07:21,中势型
688517,金冠电气,4,2026-01-19,18.05,2026-02-27 09:07:21,中势型
688156,路德环境,4,2026-01-19,19.76,2026-02-27 09:07:21,中势型
603861,白云电器,1,2026-02-24,18.13,2026-02-27 09:07:21,强势型
600667,太极实业,1,2026-02-24,10.8,2026-02-27 09:07:21,强势型
000811,冰轮环境,1,2026-02-24,19.13,2026-02-27 09:07:21,强势型
002478,常宝股份,1,2026-02-24,11.55,2026-02-27 09:07:21,强势型
002283,天润工业,1,2026-02-24,10.05,2026-02-27 09:07:21,强势型
603601,再升科技,1,2026-02-24,13.02,2026-02-27 09:07:21,强势型
600470,六国化工,1,2026-02-24,7.84,2026-02-27 09:07:21,强势型
603466,风语筑,1,2026-02-24,12.97,2026-02-27 09:07:21,强势型
600916,中国黄金,1,2026-02-24,11.59,2026-02-27 09:07:21,强势型
603002,宏昌电子,1,2026-02-24,11.54,2026-02-27 09:07:21,强势型
603588,高能环境,1,2026-02-24,11.69,2026-02-27 09:07:21,强势型
603330,天洋新材,1,2026-02-24,8.2,2026-02-27 09:07:21,强势型
600869,远东股份,1,2026-02-24,14.26,2026-02-27 09:07:21,强势型
