代码,名称,调整天数,单阳日,现价,筛选时间,类型
002443,金洲管道,5,2026-04-23,11.84,2026-05-03 09:47:17,中势型
003000,劲仔食品,5,2026-04-23,11.27,2026-05-03 09:47:17,中势型
002712,思美传媒,4,2026-04-24,5.58,2026-05-03 09:47:17,中势型
600694,大商股份,4,2026-04-24,18.2,2026-05-03 09:47:17,中势型
000546,金圆股份,4,2026-04-24,7.72,2026-05-03 09:47:17,中势型
002799,环球印务,4,2026-04-24,8.64,2026-05-03 09:47:17,中势型
600110,诺德股份,4,2026-04-24,10.75,2026-05-03 09:47:17,中势型
600331,宏达股份,4,2026-04-24,18.14,2026-05-03 09:47:17,中势型
000680,山推股份,4,2026-04-24,11.91,2026-05-03 09:47:17,中势型
000830,鲁西化工,4,2026-04-24,17.06,2026-05-03 09:47:17,中势型
000782,恒申新材,3,2026-04-27,7.38,2026-05-03 09:47:17,强势型
002706,良信股份,3,2026-04-27,11.57,2026-05-03 09:47:17,强势型
600258,首旅酒店,1,2026-04-29,15.65,2026-05-03 09:47:17,强势型
002522,浙江众成,1,2026-04-29,6.35,2026-05-03 09:47:17,强势型
600379,宝光股份,1,2026-04-29,16.78,2026-05-03 09:47:17,强势型
002348,高乐股份,1,2026-04-29,11.13,2026-05-03 09:47:17,强势型
000039,中集集团,1,2026-04-29,12.39,2026-05-03 09:47:17,强势型
603399,永杉锂业,1,2026-04-29,19.39,2026-05-03 09:47:17,强势型
002136,安 纳 达,1,2026-04-29,15.09,2026-05-03 09:47:17,强势型
000703,恒逸石化,1,2026-04-29,17.65,2026-05-03 09:47:17,强势型
002176,江特电机,1,2026-04-29,16.05,2026-05-03 09:47:17,强势型
000818,航锦科技,1,2026-04-29,15.32,2026-05-03 09:47:17,强势型
603279,景津装备,1,2026-04-29,18.75,2026-05-03 09:47:17,强势型
