代码,名称,调整天数,单阳日,现价,筛选时间,类型
600379,宝光股份,5,2026-06-24,15.38,2026-07-02 11:05:55,中势型
002367,康力电梯,5,2026-06-24,7.06,2026-07-02 11:05:55,中势型
002631,德尔未来,5,2026-06-24,11.48,2026-07-02 11:05:55,中势型
605369,拱东医疗,5,2026-06-24,18.61,2026-07-02 11:05:55,中势型
600458,时代新材,4,2026-06-25,16.59,2026-07-02 11:05:55,中势型
603520,司太立,4,2026-06-25,10.86,2026-07-02 11:05:55,中势型
000571,新大洲A,4,2026-06-25,6.64,2026-07-02 11:05:55,中势型
603588,高能环境,4,2026-06-25,19.65,2026-07-02 11:05:55,中势型
601901,方正证券,4,2026-06-25,7.48,2026-07-02 11:05:55,中势型
603898,好莱客,4,2026-06-25,15.87,2026-07-02 11:05:55,中势型
603378,亚士创能,4,2026-06-25,5.06,2026-07-02 11:05:55,中势型
600906,财达证券,4,2026-06-25,7.93,2026-07-02 11:05:55,中势型
000783,长江证券,4,2026-06-25,10.54,2026-07-02 11:05:55,中势型
601878,浙商证券,4,2026-06-25,9.87,2026-07-02 11:05:55,中势型
603318,水发燃气,2,2026-06-29,9.94,2026-07-02 11:05:55,强势型
605069,正和生态,2,2026-06-29,15.83,2026-07-02 11:05:55,强势型
002366,融发核电,2,2026-06-29,5.98,2026-07-02 11:05:55,强势型
603001,奥康国际,2,2026-06-24,14.14,2026-07-02 11:05:55,强势型
002114,罗平锌电,2,2026-06-29,7.46,2026-07-02 11:05:55,强势型
600867,通化东宝,2,2026-06-29,8.3,2026-07-02 11:05:55,强势型
002180,纳思达,2,2026-06-29,16.25,2026-07-02 11:05:55,强势型
601369,陕鼓动力,1,2026-06-26,9.05,2026-07-02 11:05:55,强势型
002972,科安达,1,2026-06-30,19.0,2026-07-02 11:05:55,强势型
600539,狮头股份,1,2026-06-30,17.0,2026-07-02 11:05:55,强势型
002615,哈尔斯,1,2026-06-30,7.1,2026-07-02 11:05:55,强势型
003015,日久光电,1,2026-06-30,12.9,2026-07-02 11:05:55,强势型
000017,深中华A,1,2026-06-30,6.08,2026-07-02 11:05:55,强势型
600846,同济科技,1,2026-06-30,10.54,2026-07-02 11:05:55,强势型
002845,同兴达,1,2026-06-30,16.42,2026-07-02 11:05:55,强势型
