代码,名称,调整天数,单阳日,现价,筛选时间,类型
002513,蓝丰生化,5,2026-03-06,7.31,2026-03-14 08:59:38,中势型
603968,醋化股份,5,2026-03-06,14.58,2026-03-14 08:59:38,中势型
603151,邦基科技,5,2026-03-06,19.19,2026-03-14 08:59:38,中势型
600731,湖南海利,5,2026-03-06,7.86,2026-03-14 08:59:38,中势型
002810,山东赫达,5,2026-03-06,19.18,2026-03-14 08:59:38,中势型
002562,兄弟科技,5,2026-03-06,6.88,2026-03-14 08:59:38,中势型
600610,中毅达,5,2026-03-06,10.76,2026-03-14 08:59:38,中势型
002452,长高电新,2,2026-03-11,12.41,2026-03-14 08:59:38,强势型
000890,法尔胜,1,2026-03-12,11.09,2026-03-14 08:59:38,强势型
002221,东华能源,1,2026-03-12,9.43,2026-03-14 08:59:38,强势型
601139,深圳燃气,1,2026-03-12,7.65,2026-03-14 08:59:38,强势型
600703,三安光电,1,2026-03-12,18.14,2026-03-14 08:59:38,强势型
