代码,名称,调整天数,单阳日,现价,筛选时间,类型
002745,木林森,4,2026-06-17,12.04,2026-06-25 11:14:08,中势型
603519,立霸股份,4,2026-06-17,15.8,2026-06-25 11:14:08,中势型
002734,利民股份,3,2026-06-18,18.96,2026-06-25 11:14:08,强势型
002201,九鼎新材,2,2026-06-22,13.28,2026-06-25 11:14:08,强势型
002601,龙佰集团,2,2026-06-22,17.36,2026-06-25 11:14:08,强势型
000422,湖北宜化,2,2026-06-22,14.26,2026-06-25 11:14:08,强势型
603668,天马科技,2,2026-06-22,11.91,2026-06-25 11:14:08,强势型
600226,亨通股份,2,2026-06-22,11.41,2026-06-25 11:14:08,强势型
603660,苏州科达,2,2026-06-22,13.36,2026-06-25 11:14:08,强势型
000682,东方电子,2,2026-06-22,13.75,2026-06-25 11:14:08,强势型
002392,北京利尔,1,2026-06-23,9.0,2026-06-25 11:14:08,强势型
600470,六国化工,1,2026-06-23,6.41,2026-06-25 11:14:08,强势型
000571,新大洲A,1,2026-06-23,6.26,2026-06-25 11:14:08,强势型
002584,西陇科学,1,2026-06-23,11.02,2026-06-25 11:14:08,强势型
600909,华安证券,1,2026-06-23,11.51,2026-06-25 11:14:08,强势型
002068,黑猫股份,1,2026-06-23,13.48,2026-06-25 11:14:08,强势型
002962,五方光电,1,2026-06-23,18.01,2026-06-25 11:14:08,强势型
