代码,名称,调整天数,单阳日,现价,筛选时间,类型
000899,赣能股份,5,2026-05-28,14.63,2026-06-06 10:29:43,中势型
000795,英洛华,5,2026-05-28,9.03,2026-06-06 10:29:43,中势型
603458,勘设股份,5,2026-05-28,14.39,2026-06-06 10:29:43,中势型
002331,皖通科技,5,2026-05-28,8.7,2026-06-06 10:29:43,中势型
002051,中工国际,4,2026-05-29,12.02,2026-06-06 10:29:43,中势型
600737,中粮糖业,3,2026-06-01,14.7,2026-06-06 10:29:43,强势型
603201,XD常润股,3,2026-06-01,17.95,2026-06-06 10:29:43,强势型
600667,太极实业,2,2026-06-02,16.36,2026-06-06 10:29:43,强势型
600403,大有能源,1,2026-06-03,7.4,2026-06-06 10:29:43,强势型
600516,方大炭素,1,2026-06-03,5.3,2026-06-06 10:29:43,强势型
600172,黄河旋风,1,2026-06-03,14.48,2026-06-06 10:29:43,强势型
600246,万通发展,1,2026-06-03,18.87,2026-06-06 10:29:43,强势型
600596,新安股份,1,2026-06-03,14.32,2026-06-06 10:29:43,强势型
