代码,名称,调整天数,单阳日,现价,筛选时间,类型
003003,天元股份,5,2026-03-24,13.13,2026-03-31 09:39:19,中势型
002043,兔 宝 宝,5,2026-03-24,15.36,2026-03-31 09:39:19,中势型
605138,盛泰集团,5,2026-03-24,6.83,2026-03-31 09:39:19,中势型
603231,索宝蛋白,5,2026-03-24,17.27,2026-03-31 09:39:19,中势型
600232,金鹰股份,5,2026-03-24,8.1,2026-03-31 09:39:19,中势型
002205,国统股份,5,2026-03-24,13.18,2026-03-31 09:39:19,中势型
603506,南都物业,5,2026-03-24,12.34,2026-03-31 09:39:19,中势型
002295,精艺股份,5,2026-03-24,10.72,2026-03-31 09:39:19,中势型
002066,瑞泰科技,5,2026-03-24,19.9,2026-03-31 09:39:19,中势型
605136,丽人丽妆,5,2026-03-24,10.03,2026-03-31 09:39:19,中势型
000702,正虹科技,5,2026-03-24,6.7,2026-03-31 09:39:19,中势型
000710,贝瑞基因,5,2026-03-24,10.32,2026-03-31 09:39:19,中势型
600538,国发股份,5,2026-03-24,6.7,2026-03-31 09:39:19,中势型
002999,天禾股份,5,2026-03-24,7.08,2026-03-31 09:39:19,中势型
600774,汉商集团,5,2026-03-24,8.82,2026-03-31 09:39:19,中势型
603779,威龙股份,5,2026-03-24,6.31,2026-03-31 09:39:19,中势型
605369,拱东医疗,5,2026-03-24,17.37,2026-03-31 09:39:19,中势型
000952,广济药业,5,2026-03-24,7.25,2026-03-31 09:39:19,中势型
603022,新通联,5,2026-03-24,10.54,2026-03-31 09:39:19,中势型
600080,金花股份,5,2026-03-24,8.54,2026-03-31 09:39:19,中势型
603006,联明股份,5,2026-03-24,12.64,2026-03-31 09:39:19,中势型
603041,美思德,5,2026-03-24,12.69,2026-03-31 09:39:19,中势型
000705,浙江震元,5,2026-03-24,8.8,2026-03-31 09:39:19,中势型
600833,第一医药,5,2026-03-24,12.03,2026-03-31 09:39:19,中势型
002835,同为股份,5,2026-03-24,15.58,2026-03-31 09:39:19,中势型
002062,宏润建设,5,2026-03-24,7.43,2026-03-31 09:39:19,中势型
603839,安正时尚,5,2026-03-24,7.56,2026-03-31 09:39:19,中势型
600854,春兰股份,5,2026-03-24,5.15,2026-03-31 09:39:19,中势型
001387,雪祺电气,5,2026-03-24,13.28,2026-03-31 09:39:19,中势型
603700,宁水集团,5,2026-03-24,13.24,2026-03-31 09:39:19,中势型
600490,鹏欣资源,5,2026-03-24,7.63,2026-03-31 09:39:19,中势型
002855,捷荣技术,5,2026-03-24,12.16,2026-03-31 09:39:19,中势型
