代码,名称,调整天数,单阳日,现价,筛选时间,类型
003013,地铁设计,5,2026-07-08,16.15,2026-08-07 09:31:03,中势型
601121,宝地矿业,5,2026-07-08,6.87,2026-08-07 09:31:03,中势型
600846,同济科技,5,2026-07-28,12.14,2026-08-07 09:31:03,中势型
000828,东莞控股,4,2026-07-27,6.21,2026-08-07 09:31:03,中势型
603969,银龙股份,4,2026-07-29,7.41,2026-08-07 09:31:03,中势型
002546,新联电子,4,2026-07-09,8.52,2026-08-07 09:31:03,中势型
002284,亚太股份,4,2026-07-29,9.56,2026-08-07 09:31:03,中势型
600721,百花医药,4,2026-07-27,7.03,2026-08-07 09:31:03,中势型
000592,平潭发展,4,2026-07-27,5.83,2026-08-07 09:31:03,中势型
002883,中设股份,4,2026-07-27,14.82,2026-08-07 09:31:03,中势型
002860,星帅尔,4,2026-07-09,16.53,2026-08-07 09:31:03,中势型
000582,北部湾港,4,2026-07-27,12.41,2026-08-07 09:31:03,中势型
000703,恒逸石化,4,2026-07-27,16.09,2026-08-07 09:31:03,中势型
002029,七 匹 狼,4,2026-07-27,8.32,2026-08-07 09:31:03,中势型
002856,美芝股份,4,2026-07-27,6.41,2026-08-07 09:31:03,中势型
603711,香飘飘,4,2026-07-29,11.34,2026-08-07 09:31:03,中势型
002293,罗莱生活,4,2026-07-27,5.21,2026-08-07 09:31:03,中势型
002277,友阿股份,4,2026-07-29,5.81,2026-08-07 09:31:03,中势型
002677,浙江美大,2,2026-07-09,7.23,2026-08-07 09:31:03,强势型
600839,四川长虹,2,2026-07-13,7.44,2026-08-07 09:31:03,强势型
600129,太极集团,2,2026-07-13,17.98,2026-08-07 09:31:03,强势型
000506,招金黄金,2,2026-07-31,14.82,2026-08-07 09:31:03,强势型
603233,大参林,1,2026-07-14,19.25,2026-08-07 09:31:03,强势型
002083,孚日股份,1,2026-07-14,9.68,2026-08-07 09:31:03,强势型
603730,岱美股份,1,2026-07-14,11.01,2026-08-07 09:31:03,强势型
601101,昊华能源,1,2026-07-14,12.02,2026-08-07 09:31:03,强势型
002357,富临运业,1,2026-07-14,9.51,2026-08-07 09:31:03,强势型
002667,威领股份,1,2026-08-03,11.91,2026-08-07 09:31:03,强势型
603993,洛阳钼业,1,2026-07-14,17.91,2026-08-07 09:31:03,强势型
603012,创力集团,1,2026-07-14,8.47,2026-08-07 09:31:03,强势型
000159,国际实业,1,2026-08-03,5.82,2026-08-07 09:31:03,强势型
