代码,名称,调整天数,单阳日,现价,筛选时间,类型
002203,海亮股份,5,2026-03-27,15.04,2026-04-05 09:06:57,中势型
002583,海能达,5,2026-03-27,10.11,2026-04-05 09:06:57,中势型
600771,广誉远,5,2026-03-27,17.6,2026-04-05 09:06:57,中势型
603668,天马科技,4,2026-03-30,13.37,2026-04-05 09:06:57,中势型
603886,元祖股份,4,2026-03-30,12.88,2026-04-05 09:06:57,中势型
600746,江苏索普,4,2026-03-30,9.97,2026-04-05 09:06:57,中势型
002686,亿利达,2,2026-03-30,7.89,2026-04-05 09:06:57,强势型
603477,巨星农牧,1,2026-04-02,16.57,2026-04-05 09:06:57,强势型
000586,汇源通信,1,2026-04-02,18.87,2026-04-05 09:06:57,强势型
000593,德龙汇能,1,2026-04-02,16.72,2026-04-05 09:06:57,强势型
