代码,名称,调整天数,单阳日,现价,筛选时间,类型
601872,招商轮船,5,2026-03-18,17.41,2026-03-26 09:33:28,中势型
000617,中油资本,4,2026-03-19,10.83,2026-03-26 09:33:28,中势型
603985,恒润股份,4,2026-03-19,19.64,2026-03-26 09:33:28,中势型
603687,大胜达,2,2026-03-23,15.0,2026-03-26 09:33:28,强势型
002188,中天服务,1,2026-03-24,6.68,2026-03-26 09:33:28,强势型
600032,浙江新能,1,2026-03-24,13.02,2026-03-26 09:33:28,强势型
600773,西藏城投,1,2026-03-24,18.47,2026-03-26 09:33:28,强势型
600538,国发股份,1,2026-03-24,6.6,2026-03-26 09:33:28,强势型
605299,舒华体育,1,2026-03-24,17.74,2026-03-26 09:33:28,强势型
002083,孚日股份,1,2026-03-24,11.16,2026-03-26 09:33:28,强势型
000722,湖南发展,1,2026-03-24,16.62,2026-03-26 09:33:28,强势型
000039,中集集团,1,2026-03-24,11.4,2026-03-26 09:33:28,强势型
600490,鹏欣资源,1,2026-03-24,7.5,2026-03-26 09:33:28,强势型
002271,东方雨虹,1,2026-03-24,15.4,2026-03-26 09:33:28,强势型
000593,德龙汇能,1,2026-03-24,15.12,2026-03-26 09:33:28,强势型
002345,潮宏基,1,2026-03-24,10.37,2026-03-26 09:33:28,强势型
000811,冰轮环境,1,2026-03-24,18.72,2026-03-26 09:33:28,强势型
600686,金龙汽车,1,2026-03-24,17.72,2026-03-26 09:33:28,强势型
002491,通鼎互联,1,2026-03-24,11.4,2026-03-26 09:33:28,强势型
002631,德尔未来,1,2026-03-24,6.93,2026-03-26 09:33:28,强势型
600192,长城电工,1,2026-03-24,9.16,2026-03-26 09:33:28,强势型
000803,山高环能,1,2026-03-24,8.96,2026-03-26 09:33:28,强势型
002963,豪尔赛,1,2026-03-24,15.05,2026-03-26 09:33:28,强势型
600499,科达制造,1,2026-03-24,16.37,2026-03-26 09:33:28,强势型
000035,中国天楹,1,2026-03-24,7.56,2026-03-26 09:33:28,强势型
605366,宏柏新材,1,2026-03-24,11.21,2026-03-26 09:33:28,强势型
002719,麦趣尔,1,2026-03-24,9.25,2026-03-26 09:33:28,强势型
