代码,名称,调整天数,单阳日,现价,筛选时间,类型
003013,地铁设计,5,2026-07-08,16.15,2026-07-17 10:17:32,中势型
601121,宝地矿业,5,2026-07-08,6.87,2026-07-17 10:17:32,中势型
600846,同济科技,4,2026-07-09,11.25,2026-07-17 10:17:32,中势型
603700,宁水集团,4,2026-07-09,11.67,2026-07-17 10:17:32,中势型
002860,星帅尔,4,2026-07-09,16.53,2026-07-17 10:17:32,中势型
002546,新联电子,4,2026-07-09,8.52,2026-07-17 10:17:32,中势型
603682,锦和商管,3,2026-07-10,9.07,2026-07-17 10:17:32,强势型
600428,中远海特,2,2026-07-13,10.57,2026-07-17 10:17:32,强势型
600129,太极集团,2,2026-07-13,17.98,2026-07-17 10:17:32,强势型
002677,浙江美大,2,2026-07-09,7.23,2026-07-17 10:17:32,强势型
600839,四川长虹,2,2026-07-13,7.44,2026-07-17 10:17:32,强势型
002440,闰土股份,1,2026-07-14,11.29,2026-07-17 10:17:32,强势型
601600,中国铝业,1,2026-07-14,8.98,2026-07-17 10:17:32,强势型
603012,创力集团,1,2026-07-14,8.47,2026-07-17 10:17:32,强势型
601969,海南矿业,1,2026-07-14,8.47,2026-07-17 10:17:32,强势型
002083,孚日股份,1,2026-07-14,9.68,2026-07-17 10:17:32,强势型
603993,洛阳钼业,1,2026-07-14,17.91,2026-07-17 10:17:32,强势型
603730,岱美股份,1,2026-07-14,11.01,2026-07-17 10:17:32,强势型
603233,大参林,1,2026-07-14,19.25,2026-07-17 10:17:32,强势型
002357,富临运业,1,2026-07-14,9.51,2026-07-17 10:17:32,强势型
601101,昊华能源,1,2026-07-14,12.02,2026-07-17 10:17:32,强势型
