代码,名称,调整天数,单阳日,现价,筛选时间,类型
002440,闰土股份,4,2026-06-15,10.99,2026-06-24 11:22:09,中势型
600497,驰宏锌锗,4,2026-06-15,11.31,2026-06-24 11:22:09,中势型
002669,康达新材,4,2026-06-15,18.8,2026-06-24 11:22:09,中势型
600927,永安期货,4,2026-06-15,13.21,2026-06-24 11:22:09,中势型
002414,高德红外,4,2026-06-15,13.83,2026-06-24 11:22:09,中势型
600909,华安证券,4,2026-06-15,9.52,2026-06-24 11:22:09,中势型
601061,中信金属,4,2026-06-15,12.54,2026-06-24 11:22:09,中势型
002559,亚威股份,4,2026-06-15,10.58,2026-06-24 11:22:09,中势型
000737,北方铜业,4,2026-06-15,15.69,2026-06-24 11:22:09,中势型
600058,五矿发展,4,2026-06-15,11.31,2026-06-24 11:22:09,中势型
002706,良信股份,4,2026-06-15,12.48,2026-06-24 11:22:09,中势型
000630,铜陵有色,4,2026-06-15,7.93,2026-06-24 11:22:09,中势型
002972,科安达,3,2026-06-16,17.29,2026-06-24 11:22:09,强势型
603137,恒尚节能,3,2026-06-15,12.94,2026-06-24 11:22:09,强势型
603949,雪龙集团,3,2026-06-16,16.57,2026-06-24 11:22:09,强势型
600703,三安光电,3,2026-06-16,19.29,2026-06-24 11:22:09,强势型
600366,宁波韵升,3,2026-06-16,15.13,2026-06-24 11:22:09,强势型
000672,上峰水泥,2,2026-06-17,18.76,2026-06-24 11:22:09,强势型
002161,远 望 谷,2,2026-06-17,6.01,2026-06-24 11:22:09,强势型
603458,勘设股份,2,2026-06-17,14.56,2026-06-24 11:22:09,强势型
002072,凯瑞德,2,2026-06-17,9.35,2026-06-24 11:22:09,强势型
002674,兴业科技,1,2026-06-18,19.69,2026-06-24 11:22:09,强势型
002167,东方锆业,1,2026-06-18,17.74,2026-06-24 11:22:09,强势型
002354,天娱数科,1,2026-06-18,8.5,2026-06-24 11:22:09,强势型
002734,利民股份,1,2026-06-18,18.94,2026-06-24 11:22:09,强势型
