date,code,name,price,pct_chg,turnover,vol_ratio
2026-01-23,600860,京城股份,13.66,5.65,7.24,2.29
2026-01-23,000156,华数传媒,8.79,7.2,3.11,2.42
2026-01-23,600063,皖维高新,7.28,5.51,5.87,2.21
2026-01-23,002312,川发龙蟒,12.74,6.34,6.74,2.11
2026-01-23,002590,万安科技,16.2,5.33,5.98,2.77
2026-01-23,002125,湘潭电化,15.33,8.34,10.23,2.93
2026-01-23,600388,龙净环保,17.47,7.18,3.69,3.25
2026-01-23,603883,老百姓,16.44,5.93,6.84,3.34
2026-01-23,603628,清源股份,14.73,5.74,8.63,2.67
2026-01-23,000155,川能动力,14.12,8.95,6.83,2.94
2026-01-23,600876,凯盛新能,10.91,6.54,3.99,3.74
2026-01-23,002129,TCL中环,9.75,7.85,6.76,2.38
2026-01-22,600851,海欣股份,8.0,5.26,7.14,5.06
