股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
600463,11.15,11.03,27.8%,54.1%,80,建议观察，待放量确认,空港股份
002215,11.15,11.35,36.9%,52.7%,80,建议观察，待放量确认,诺 普 信
002205,14.23,14.37,41.7%,50.6%,80,建议观察，待放量确认,国统股份
600586,6.17,6.1,36.4%,52.9%,80,建议观察，待放量确认,金晶科技
