date,code,name,price,pct_chg,amount_M,turnover,vol_ratio,ma20_slope,rsi_14,kdj_j,bias_ma5,boll_pct,amplitude
2026-04-16,605388,均瑶健康,8.06,9.96,463.71,9.96,4.1,1.051,72.85,107.81,14.85,129.99,13.23
2026-04-14,002521,齐峰新材,9.04,9.05,209.49,5.71,4.54,0.578,77.04,93.45,7.11,124.96,10.01
