date,code,name,price
2026-04-12,605069,正和生态,12.36
2026-04-12,600212,绿能慧充,7.51
2026-04-12,002617,露笑科技,7.65
2026-04-12,600846,同济科技,12.19
2026-04-12,605066,天正电气,8.2
2026-04-12,603058,永吉股份,12.62
2026-04-12,603332,苏州龙杰,12.99
2026-04-12,002483,润邦股份,6.98
2026-04-12,002441,众业达,10.07
2026-04-12,002478,常宝股份,11.31
2026-04-12,002394,联发股份,14.03
2026-04-12,002564,天沃科技,6.07
2026-04-12,002139,拓邦股份,12.3
2026-04-12,002494,华斯股份,5.21
2026-04-12,002085,万丰奥威,14.02
2026-04-12,601118,海南橡胶,6.77
2026-04-12,603300,海南华铁,6.77
2026-04-12,600589,大位科技,10.96
2026-04-12,600854,春兰股份,5.13
2026-04-12,002556,辉隆股份,6.13
2026-04-12,603969,银龙股份,9.29
2026-04-12,603709,中源家居,16.99
2026-04-12,000159,国际实业,6.47
2026-04-12,003025,思进智能,13.78
2026-04-12,002248,华东数控,12.47
2026-04-12,603176,汇通集团,5.45
2026-04-12,002320,海峡股份,8.51
2026-04-12,001376,百通能源,15.96
2026-04-12,000987,越秀资本,8.38
2026-04-12,600558,大西洋,5.48
2026-04-12,601319,中国人保,7.46
2026-04-12,002798,帝欧水华,6.1
2026-04-12,603070,万控智造,15.18
2026-04-12,002541,鸿路钢构,20.85
2026-04-12,002576,通达动力,18.53
2026-04-12,000932,华菱钢铁,5.12
2026-04-12,603697,有友食品,10.0
2026-04-12,002177,御银股份,8.16
2026-04-12,001210,金房能源,21.1
2026-04-12,002879,长缆科技,20.81
2026-04-12,601882,海天精工,19.07
2026-04-12,600830,香溢融通,8.75
2026-04-12,002012,凯恩股份,6.82
2026-04-12,603187,海容冷链,14.75
2026-04-12,002105,信隆健康,6.38
2026-04-12,603022,新通联,10.37
2026-04-12,600481,双良节能,6.37
