股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
600148,19.17,18.71,36.6%,50.8%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,长春一东
002467,6.95,7.08,25.6%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,二六三
603088,12.4,12.29,42.6%,56.0%,80,建议观察，待放量确认,宁波精达
