代码,name,收盘,筑底位,生命线,胜率,评分,强度,逻辑
605555,德昌股份,18.73,25.0%,10日,71.74%,100,极强,回踩10线+底部
002700,万憬能源,7.01,10.2%,21日,28.00%,70,极强,回踩21线+底部
002508,老板电器,19.64,24.7%,10日,34.78%,70,极强,回踩10线+底部
000707,双环科技,6.24,15.7%,12日,40.00%,70,极强,回踩12线+底部
600749,西藏旅游,17.28,32.4%,33日,83.33%,65,强,回踩33线+底部
601969,海南矿业,11.53,65.0%,15日,71.43%,65,强,回踩15线+中继
603316,诚邦股份,15.31,81.3%,35日,69.23%,65,强,回踩35线+中继
603221,爱丽家居,13.52,57.5%,11日,66.67%,65,强,回踩11线+中继
600601,方正科技,13.02,91.1%,10日,75.76%,65,强,回踩10线+中继
002197,ST证通,10.45,88.1%,11日,71.79%,65,强,回踩11线+中继
002295,精艺股份,12.7,59.5%,26日,79.17%,65,强,回踩26线+中继
600510,黑牡丹,8.96,81.2%,29日,90.00%,65,强,回踩29线+中继
601696,中银证券,14.85,61.1%,23日,66.67%,65,强,回踩23线+中继
603610,麒盛科技,19.42,81.5%,31日,71.43%,65,强,回踩31线+中继
600843,上工申贝,12.22,40.1%,12日,65.91%,65,强,回踩12线+中继
605001,威奥股份,7.79,78.8%,12日,69.23%,65,强,回踩12线+中继
600279,重庆港,5.49,37.1%,10日,36.73%,35,强,回踩10线+底部
600480,凌云股份,12.47,28.0%,10日,57.89%,35,强,回踩10线+底部
601816,京沪高铁,5.11,5.3%,32日,0.00%,35,强,回踩32线+底部
600559,老白干酒,16.22,5.5%,25日,34.62%,35,强,回踩25线+底部
002136,安 纳 达,12.58,47.8%,31日,44.44%,35,强,回踩31线+中继
600299,安迪苏,9.11,10.7%,11日,11.11%,35,强,回踩11线+底部
000610,西安旅游,12.56,25.0%,11日,52.08%,35,强,回踩11线+底部
603848,好太太,18.76,28.2%,17日,50.00%,35,强,回踩17线+底部
600616,金枫酒业,5.41,26.5%,10日,26.00%,35,强,回踩10线+底部
601229,上海银行,9.91,47.8%,12日,29.17%,35,强,回踩12线+中继
603332,苏州龙杰,13.73,44.9%,10日,32.50%,35,强,回踩10线+中继
605158,华达新材,8.13,19.2%,11日,26.92%,35,强,回踩11线+底部
600998,九州通,5.29,71.3%,10日,17.31%,35,强,回踩10线+中继
600727,鲁北化工,7.09,15.8%,10日,20.00%,35,强,回踩10线+底部
002188,中天服务,6.38,59.6%,21日,58.33%,35,强,回踩21线+中继
600742,富维股份,9.87,64.3%,23日,37.04%,35,强,回踩23线+中继
603967,中创物流,13.01,65.5%,12日,24.49%,35,强,回踩12线+中继
002327,富安娜,6.71,7.2%,11日,0.00%,35,强,回踩11线+底部
600906,财达证券,6.99,48.4%,10日,20.83%,35,强,回踩10线+中继
600916,中国黄金,8.2,19.8%,27日,21.88%,35,强,回踩27线+底部
001201,东瑞股份,14.75,23.9%,16日,26.92%,35,强,回踩16线+底部
000716,黑芝麻,6.29,26.7%,17日,35.90%,35,强,回踩17线+底部
000166,申万宏源,5.35,67.4%,15日,22.92%,35,强,回踩15线+中继
000973,佛塑科技,13.95,80.3%,16日,57.14%,35,强,回踩16线+中继
605377,华旺科技,8.44,13.1%,18日,22.58%,35,强,回踩18线+底部
601019,山东出版,8.83,29.4%,16日,13.51%,35,强,回踩16线+底部
603137,恒尚节能,14.1,62.2%,18日,31.03%,35,强,回踩18线+中继
002039,黔源电力,18.0,74.6%,32日,22.73%,35,强,回踩32线+中继
000729,燕京啤酒,12.2,39.9%,28日,39.13%,35,强,回踩28线+底部
600061,国投资本,7.81,59.7%,10日,17.07%,35,强,回踩10线+中继
600908,无锡银行,5.89,46.9%,15日,6.45%,35,强,回踩15线+中继
600123,兰花科创,6.16,11.9%,10日,25.58%,35,强,回踩10线+底部
002500,山西证券,6.15,52.8%,15日,21.95%,35,强,回踩15线+中继
000822,山东海化,5.53,26.5%,12日,28.57%,35,强,回踩12线+底部
600109,国金证券,9.49,62.9%,18日,29.41%,35,强,回踩18线+中继
605155,西大门,17.15,76.4%,15日,52.94%,35,强,回踩15线+中继
002832,比音勒芬,15.21,4.2%,11日,12.50%,35,强,回踩11线+底部
000978,桂林旅游,7.16,61.0%,12日,51.92%,35,强,回踩12线+中继
600258,首旅酒店,17.02,90.8%,10日,40.48%,35,强,回踩10线+中继
001366,播恩集团,13.21,58.3%,18日,38.46%,35,强,回踩18线+中继
002736,国信证券,13.45,60.4%,12日,51.35%,35,强,回踩12线+中继
601238,广汽集团,8.44,42.5%,35日,33.33%,35,强,回踩35线+中继
600719,大连热电,6.22,36.3%,10日,41.18%,35,强,回踩10线+底部
603506,南都物业,13.31,67.1%,12日,53.85%,35,强,回踩12线+中继
000888,峨眉山Ａ,13.25,30.7%,19日,53.49%,35,强,回踩19线+底部
002797,第一创业,7.06,26.6%,13日,27.03%,35,强,回踩13线+底部
002986,宇新股份,11.11,35.8%,15日,40.00%,35,强,回踩15线+底部
601827,三峰环境,8.52,64.9%,10日,15.56%,35,强,回踩10线+中继
000937,冀中能源,5.5,15.6%,10日,9.09%,35,强,回踩10线+底部
000876,新 希 望,9.26,27.4%,11日,29.55%,35,强,回踩11线+底部
600177,雅戈尔,7.53,17.6%,10日,7.14%,35,强,回踩10线+底部
002035,华帝股份,6.26,13.2%,10日,13.33%,35,强,回踩10线+底部
002461,珠江啤酒,9.53,18.8%,33日,25.00%,35,强,回踩33线+底部
601083,锦江航运,11.43,47.8%,30日,5.88%,35,强,回踩30线+中继
601788,光大证券,17.8,38.4%,15日,30.00%,35,强,回踩15线+底部
603056,德邦股份,14.04,12.5%,18日,52.38%,35,强,回踩18线+底部
603357,设计总院,8.25,19.4%,10日,5.56%,35,强,回踩10线+底部
000650,仁和药业,6.05,49.5%,12日,17.95%,35,强,回踩12线+中继
002892,科力尔,13.38,15.5%,12日,50.00%,35,强,回踩12线+底部
601186,中国铁建,7.8,24.5%,12日,6.38%,35,强,回踩12线+底部
600452,涪陵电力,9.68,21.2%,15日,42.86%,35,强,回踩15线+底部
000605,渤海股份,6.84,24.7%,10日,14.81%,35,强,回踩10线+底部
000151,中成股份,12.26,10.9%,13日,20.00%,35,强,回踩13线+底部
600818,中路股份,9.98,23.8%,10日,33.33%,35,强,回踩10线+底部
002572,索菲亚,13.73,23.0%,11日,35.14%,35,强,回踩11线+底部
601990,南京证券,8.11,41.2%,27日,20.00%,35,强,回踩27线+中继
601390,中国中铁,5.58,30.0%,12日,11.43%,35,强,回踩12线+底部
002267,陕天然气,7.6,9.6%,10日,33.33%,35,强,回踩10线+底部
600251,冠农股份,9.49,85.4%,14日,35.29%,35,强,回踩14线+中继
002737,葵花药业,15.04,9.6%,10日,9.30%,35,强,回踩10线+底部
000728,国元证券,8.63,52.7%,13日,27.27%,35,强,回踩13线+中继
000779,甘咨询,8.47,21.9%,12日,13.89%,35,强,回踩12线+底部
002491,通鼎互联,6.16,63.7%,27日,78.95%,30,标准,回踩27线+中继
002691,冀凯股份,8.95,46.6%,12日,70.27%,30,标准,回踩12线+中继
002492,恒基达鑫,8.45,76.4%,25日,65.22%,30,标准,回踩25线+中继
002072,凯瑞德,7.71,81.6%,10日,69.44%,30,标准,回踩10线+中继
002600,领益智造,16.66,87.1%,11日,67.65%,30,标准,回踩11线+中继
002066,瑞泰科技,18.93,80.2%,26日,76.47%,30,标准,回踩26线+中继
002636,金安国纪,16.67,78.7%,27日,72.00%,30,标准,回踩27线+中继
603937,丽岛新材,12.29,73.8%,24日,81.82%,30,标准,回踩24线+中继
603886,元祖股份,13.78,61.3%,30日,83.33%,30,标准,回踩30线+中继
002062,宏润建设,9.14,57.0%,11日,90.00%,30,标准,回踩11线+中继
002348,高乐股份,5.98,72.3%,36日,70.59%,30,标准,回踩36线+中继
603042,华脉科技,17.81,72.7%,15日,60.61%,30,标准,回踩15线+中继
002098,浔兴股份,10.09,67.4%,12日,66.67%,30,标准,回踩12线+中继
002758,浙农股份,10.12,72.0%,23日,65.62%,30,标准,回踩23线+中继
000905,厦门港务,13.98,71.7%,23日,68.97%,30,标准,回踩23线+中继
000630,铜陵有色,5.91,87.6%,14日,70.83%,30,标准,回踩14线+中继
002121,科陆电子,8.13,70.6%,10日,62.07%,30,标准,回踩10线+中继
600958,东方证券,10.91,63.3%,11日,63.64%,30,标准,回踩11线+中继
600730,中国高科,12.49,67.9%,30日,76.47%,30,标准,回踩30线+中继
002685,华东重机,7.78,53.9%,12日,72.00%,30,标准,回踩12线+中继
603093,南华期货,19.84,51.7%,10日,64.29%,30,标准,回踩10线+中继
000586,汇源通信,13.25,68.7%,29日,81.25%,30,标准,回踩29线+中继
002941,新疆交建,16.82,59.1%,16日,66.67%,30,标准,回踩16线+中继
603006,联明股份,13.28,53.6%,32日,62.50%,30,标准,回踩32线+中继
600331,宏达股份,12.63,88.1%,10日,64.44%,30,标准,回踩10线+中继
601677,明泰铝业,14.95,81.5%,12日,65.85%,30,标准,回踩12线+中继
000899,赣能股份,10.22,66.1%,15日,43.24%,0,标准,回踩15线+中继
603318,水发燃气,6.85,58.4%,13日,27.91%,0,标准,回踩13线+中继
603071,物产环能,13.52,65.3%,11日,21.28%,0,标准,回踩11线+中继
603677,奇精机械,18.13,33.0%,12日,24.44%,0,标准,回踩12线+底部
002302,西部建设,6.26,31.2%,10日,29.03%,0,标准,回踩10线+底部
603387,基蛋生物,8.52,68.4%,24日,36.00%,0,标准,回踩24线+中继
603386,骏亚科技,15.98,65.4%,29日,42.86%,0,标准,回踩29线+中继
000570,苏常柴Ａ,5.63,47.3%,11日,12.24%,0,标准,回踩11线+中继
600470,六国化工,6.18,50.4%,13日,50.00%,0,标准,回踩13线+中继
600195,中牧股份,8.1,87.8%,34日,30.00%,0,标准,回踩34线+中继
002606,大连电瓷,9.16,62.4%,10日,33.33%,0,标准,回踩10线+中继
603027,千禾味业,10.23,32.7%,12日,50.00%,0,标准,回踩12线+底部
000411,英特集团,12.95,87.0%,11日,22.92%,0,标准,回踩11线+中继
002800,天顺股份,16.02,69.1%,10日,42.42%,0,标准,回踩10线+中继
600350,山东高速,9.51,33.5%,38日,33.33%,0,标准,回踩38线+底部
603586,金麒麟,19.13,61.3%,10日,36.67%,0,标准,回踩10线+中继
002140,东华科技,11.67,58.1%,15日,56.67%,0,标准,回踩15线+中继
002825,纳尔股份,11.68,71.8%,25日,29.63%,0,标准,回踩25线+中继
600235,民丰特纸,6.86,70.8%,25日,43.24%,0,标准,回踩25线+中继
002637,赞宇科技,10.4,57.2%,10日,50.00%,0,标准,回踩10线+中继
000589,贵州轮胎,5.07,79.5%,11日,28.95%,0,标准,回踩11线+中继
002698,博实股份,16.7,35.7%,10日,47.92%,0,标准,回踩10线+底部
600661,昂立教育,10.41,44.3%,10日,30.23%,0,标准,回踩10线+中继
000928,中钢国际,6.65,59.5%,10日,25.53%,0,标准,回踩10线+中继
600713,南京医药,5.52,85.1%,10日,25.00%,0,标准,回踩10线+中继
600744,华银电力,6.15,51.2%,33日,53.33%,0,标准,回踩33线+中继
601038,一拖股份,14.24,49.5%,10日,19.30%,0,标准,回踩10线+中继
002883,中设股份,11.08,31.9%,10日,9.30%,0,标准,回踩10线+底部
000885,城发环境,13.96,51.3%,10日,20.45%,0,标准,回踩10线+中继
002671,龙泉股份,5.44,68.7%,11日,43.48%,0,标准,回踩11线+中继
002968,新大正,12.46,69.9%,10日,44.64%,0,标准,回踩10线+中继
603201,XD常润股,17.17,51.0%,27日,47.62%,0,标准,回踩27线+中继
600356,恒丰纸业,8.85,54.4%,30日,12.50%,0,标准,回踩30线+中继
000702,正虹科技,6.75,33.1%,10日,28.57%,0,标准,回踩10线+底部
000783,长江证券,8.64,82.0%,10日,54.55%,0,标准,回踩10线+中继
002802,洪汇新材,12.67,38.1%,11日,18.37%,0,标准,回踩11线+底部
002552,宝鼎科技,17.53,84.6%,10日,58.54%,0,标准,回踩10线+中继
603856,东宏股份,12.84,58.4%,22日,19.05%,0,标准,回踩22线+中继
000600,建投能源,8.72,76.2%,11日,41.67%,0,标准,回踩11线+中继
000708,中信特钢,15.89,86.9%,17日,48.28%,0,标准,回踩17线+中继
002858,力盛体育,15.81,86.2%,11日,45.24%,0,标准,回踩11线+中继
603041,美思德,12.3,40.4%,10日,30.43%,0,标准,回踩10线+中继
000059,华锦股份,5.5,78.8%,10日,29.27%,0,标准,回踩10线+中继
603158,腾龙股份,10.56,38.4%,17日,46.15%,0,标准,回踩17线+底部
002614,奥佳华,7.35,65.0%,40日,45.83%,0,标准,回踩40线+中继
002474,榕基软件,10.38,61.3%,37日,47.83%,0,标准,回踩37线+中继
600644,乐山电力,10.29,38.0%,25日,42.86%,0,标准,回踩25线+底部
002033,丽江股份,9.3,52.0%,10日,36.36%,0,标准,回踩10线+中继
600202,哈空调,5.93,72.0%,18日,36.59%,0,标准,回踩18线+中继
600019,宝钢股份,7.28,61.3%,16日,48.28%,0,标准,回踩16线+中继
600237,铜峰电子,9.6,94.7%,10日,53.19%,0,标准,回踩10线+中继
002632,道明光学,13.05,64.0%,10日,41.30%,0,标准,回踩10线+中继
605336,帅丰电器,16.73,47.4%,10日,43.90%,0,标准,回踩10线+中继
002546,新联电子,7.2,76.9%,15日,40.00%,0,标准,回踩15线+中继
600099,林海股份,10.45,60.5%,10日,29.79%,0,标准,回踩10线+中继
002884,凌霄泵业,17.46,63.5%,29日,18.37%,0,标准,回踩29线+中继
003013,地铁设计,14.5,33.1%,10日,23.08%,0,标准,回踩10线+底部
001239,永达股份,16.52,48.1%,37日,45.45%,0,标准,回踩37线+中继
603327,福蓉科技,11.31,42.4%,36日,30.00%,0,标准,回踩36线+中继
600579,中化装备,8.52,31.4%,10日,46.34%,0,标准,回踩10线+底部
603155,新亚强,17.79,71.1%,34日,44.44%,0,标准,回踩34线+中继
601339,百隆东方,5.97,97.4%,10日,34.09%,0,标准,回踩10线+中继
600662,外服控股,5.09,31.6%,10日,21.05%,0,标准,回踩10线+底部
601901,方正证券,7.92,48.5%,14日,26.00%,0,标准,回踩14线+中继
000685,中山公用,12.19,61.7%,35日,41.67%,0,标准,回踩35线+中继
603587,地素时尚,13.23,49.1%,11日,31.25%,0,标准,回踩11线+中继
002301,齐心集团,8.03,71.6%,10日,34.55%,0,标准,回踩10线+中继
600305,恒顺醋业,7.97,57.9%,28日,19.44%,0,标准,回踩28线+中继
