代码,name,收盘,强度,胜率,建议,逻辑
603221,爱丽家居,13.52,极强,66.67%,重仓信号,回踩11日线+地量
600510,黑牡丹,8.96,极强,90.00%,重仓信号,回踩29日线+地量
601969,海南矿业,11.53,极强,71.43%,重仓信号,回踩15日线+地量
600749,西藏旅游,17.28,极强,83.33%,重仓信号,回踩33日线+地量
601677,明泰铝业,14.95,极强,65.85%,重仓信号,回踩12日线+地量
603316,诚邦股份,15.31,极强,69.23%,重仓信号,回踩35日线+地量
002295,精艺股份,12.7,极强,79.17%,重仓信号,回踩26日线+地量
600601,方正科技,13.02,极强,75.76%,重仓信号,回踩10日线+地量
603042,华脉科技,17.81,极强,60.61%,重仓信号,回踩15日线+地量
002197,ST证通,10.45,极强,71.79%,重仓信号,回踩11日线+地量
605001,威奥股份,7.79,极强,69.23%,重仓信号,回踩12日线+地量
605555,德昌股份,18.73,极强,71.74%,重仓信号,回踩10日线+地量
603093,南华期货,19.84,极强,64.29%,重仓信号,回踩10日线+地量
603610,麒盛科技,19.42,极强,71.43%,重仓信号,回踩31日线+地量
600843,上工申贝,12.22,极强,65.91%,重仓信号,回踩12日线+地量
601696,中银证券,14.85,极强,66.67%,重仓信号,回踩23日线+地量
