代码,name,收盘,强度,胜率,建议,逻辑
603006,联明股份,13.28,强,62.50%,试错观察,回踩32日线+地量
600730,中国高科,12.49,强,76.47%,试错观察,回踩30日线+地量
002685,华东重机,7.78,强,72.00%,试错观察,回踩12日线+地量
603221,爱丽家居,13.52,极强,66.67%,重仓信号,回踩11日线+地量
002229,鸿博股份,16.79,强,66.67%,试错观察,回踩30日线+地量
600510,黑牡丹,8.96,极强,90.00%,重仓信号,回踩29日线+地量
002941,新疆交建,16.82,强,66.67%,试错观察,回踩16日线+地量
000061,农 产 品,10.05,强,82.14%,试错观察,回踩16日线+地量
002771,真视通,15.87,强,76.92%,试错观察,回踩40日线+地量
002072,凯瑞德,7.71,强,69.44%,试错观察,回踩10日线+地量
000524,岭南控股,12.29,强,61.11%,试错观察,回踩31日线+地量
603058,永吉股份,9.66,强,93.33%,试错观察,回踩19日线+地量
002691,冀凯股份,8.95,强,70.27%,试错观察,回踩12日线+地量
002491,通鼎互联,6.16,强,78.95%,试错观察,回踩27日线+地量
002515,金字火腿,6.25,强,65.00%,试错观察,回踩16日线+地量
603001,奥康国际,8.59,强,63.64%,试错观察,回踩24日线+地量
603709,中源家居,16.97,强,75.76%,试错观察,回踩10日线+地量
002026,山东威达,14.89,强,63.16%,试错观察,回踩10日线+地量
000920,沃顿科技,12.79,强,64.52%,试错观察,回踩12日线+地量
002066,瑞泰科技,18.93,强,76.47%,试错观察,回踩26日线+地量
601969,海南矿业,11.53,极强,71.43%,重仓信号,回踩15日线+地量
600884,杉杉股份,13.86,强,72.41%,试错观察,回踩20日线+地量
600749,西藏旅游,17.28,极强,83.33%,重仓信号,回踩33日线+地量
600712,南宁百货,6.94,强,63.64%,试错观察,回踩24日线+地量
601677,明泰铝业,14.95,极强,65.85%,重仓信号,回踩12日线+地量
603316,诚邦股份,15.31,极强,69.23%,重仓信号,回踩35日线+地量
000823,超声电子,14.27,强,62.86%,试错观察,回踩12日线+地量
002600,领益智造,16.66,强,67.65%,试错观察,回踩11日线+地量
002686,亿利达,6.67,强,75.00%,试错观察,回踩35日线+地量
002062,宏润建设,9.14,强,90.00%,试错观察,回踩11日线+地量
603871,嘉友国际,13.79,强,65.12%,试错观察,回踩10日线+地量
002295,精艺股份,12.7,极强,79.17%,重仓信号,回踩26日线+地量
002826,易明医药,18.41,强,65.52%,试错观察,回踩14日线+地量
002348,高乐股份,5.98,强,70.59%,试错观察,回踩36日线+地量
603886,元祖股份,13.78,强,83.33%,试错观察,回踩30日线+地量
600601,方正科技,13.02,极强,75.76%,重仓信号,回踩10日线+地量
600538,国发股份,6.4,强,68.42%,试错观察,回踩40日线+地量
002973,侨银股份,13.84,强,77.27%,试错观察,回踩31日线+地量
603042,华脉科技,17.81,极强,60.61%,重仓信号,回踩15日线+地量
002313,日海智能,10.61,强,84.62%,试错观察,回踩39日线+地量
002197,ST证通,10.45,极强,71.79%,重仓信号,回踩11日线+地量
605001,威奥股份,7.79,极强,69.23%,重仓信号,回踩12日线+地量
605555,德昌股份,18.73,极强,71.74%,重仓信号,回踩10日线+地量
600557,康缘药业,14.73,强,60.00%,试错观察,回踩12日线+地量
002077,大港股份,15.63,强,61.82%,试错观察,回踩10日线+地量
600509,天富能源,8.78,强,64.29%,试错观察,回踩25日线+地量
002476,宝莫股份,7.17,强,64.29%,试错观察,回踩13日线+地量
600272,开开实业,14.31,强,64.29%,试错观察,回踩10日线+地量
603093,南华期货,19.84,极强,64.29%,重仓信号,回踩10日线+地量
600539,狮头股份,10.51,强,60.61%,试错观察,回踩10日线+地量
603335,迪生力,5.67,强,62.79%,试错观察,回踩10日线+地量
603937,丽岛新材,12.29,强,81.82%,试错观察,回踩24日线+地量
603898,好莱客,13.75,强,66.67%,试错观察,回踩29日线+地量
603890,春秋电子,16.35,强,70.83%,试错观察,回踩32日线+地量
002840,华统股份,9.7,强,61.90%,试错观察,回踩14日线+地量
002758,浙农股份,10.12,强,65.62%,试错观察,回踩23日线+地量
002636,金安国纪,16.67,强,72.00%,试错观察,回踩27日线+地量
002098,浔兴股份,10.09,强,66.67%,试错观察,回踩12日线+地量
605136,丽人丽妆,11.54,强,77.27%,试错观察,回踩29日线+地量
605138,盛泰集团,7.17,强,71.43%,试错观察,回踩18日线+地量
603177,德创环保,11.55,强,61.54%,试错观察,回踩10日线+地量
000905,厦门港务,13.98,强,68.97%,试错观察,回踩23日线+地量
600596,新安股份,12.19,强,60.00%,试错观察,回踩10日线+地量
600958,东方证券,10.91,强,63.64%,试错观察,回踩11日线+地量
603997,继峰股份,14.01,强,65.38%,试错观察,回踩21日线+地量
601279,英利汽车,5.08,强,67.57%,试错观察,回踩37日线+地量
603610,麒盛科技,19.42,极强,71.43%,重仓信号,回踩31日线+地量
600843,上工申贝,12.22,极强,65.91%,重仓信号,回踩12日线+地量
002534,西子洁能,16.6,强,78.57%,试错观察,回踩26日线+地量
601696,中银证券,14.85,极强,66.67%,重仓信号,回踩23日线+地量
