代码,name,收盘,筑底位,生命线,胜率,评分,强度,精选,逻辑
601121,宝地矿业,7.73,85.6%,10日,51.22%,0,标准,,回踩10线+地量
605162,新中港,9.29,55.1%,10日,20.00%,0,标准,,回踩10线+地量
601789,宁波建工,5.27,38.3%,17日,47.06%,0,标准,,回踩17线+地量
600820,隧道股份,6.53,33.1%,14日,29.63%,0,标准,,回踩14线+地量
603182,嘉华股份,15.81,85.4%,17日,34.48%,0,标准,,回踩17线+地量
603101,汇嘉时代,10.29,50.7%,10日,54.55%,0,标准,,回踩10线+地量
002215,诺 普 信,10.94,49.6%,29日,46.67%,0,标准,,回踩29线+地量
601022,宁波远洋,9.39,37.6%,10日,41.18%,0,标准,,回踩10线+地量
603105,芯能科技,9.58,53.7%,20日,27.27%,0,标准,,回踩20线+地量
600724,宁波富达,6.04,73.9%,10日,52.17%,0,标准,,回踩10线+地量
002540,亚太科技,7.18,79.7%,38日,55.56%,0,标准,,回踩38线+地量
000011,深物业A,9.1,43.3%,16日,46.67%,0,标准,,回踩16线+地量
600551,时代出版,8.48,30.9%,10日,35.71%,0,标准,,回踩10线+地量
002696,百洋股份,7.4,85.2%,36日,35.48%,0,标准,,回踩36线+地量
001216,华瓷股份,17.88,51.8%,10日,52.08%,0,标准,,回踩10线+地量
600995,南网储能,13.04,73.2%,10日,50.00%,0,标准,,回踩10线+地量
600731,湖南海利,6.96,47.0%,16日,38.71%,0,标准,,回踩16线+地量
603368,柳药集团,18.67,55.0%,14日,24.39%,0,标准,,回踩14线+地量
600598,北大荒,15.74,38.2%,11日,19.30%,0,标准,,回踩11线+地量
002331,皖通科技,9.3,69.0%,18日,38.24%,0,标准,,回踩18线+地量
600032,浙江新能,7.69,36.4%,14日,9.30%,0,标准,,回踩14线+地量
600535,天士力,15.31,43.1%,20日,4.35%,0,标准,,回踩20线+地量
601921,浙版传媒,8.14,31.6%,10日,12.77%,0,标准,,回踩10线+地量
603230,内蒙新华,12.93,46.6%,10日,24.53%,0,标准,,回踩10线+地量
002873,新天药业,10.27,36.8%,10日,47.22%,0,标准,,回踩10线+地量
