date,code,name,price,amount_M,rsi_14,bias_ma5,diff,pct_chg,pearl_score,stop_loss
2026-06-12,002440,闰土股份,9.07,421.47,46.67,3.47,-0.5053929432775419,5.1,75,8.86
2026-06-12,000958,电投产融,6.41,1108.57,59.47,8.31,-0.02832167605581759,9.01,70,6.12
2026-06-12,603856,东宏股份,12.55,101.2,50.0,3.68,-0.13621198762862008,5.82,65,12.27
2026-06-12,600711,盛屯矿业,13.0,3870.27,54.93,10.92,-0.40880216496718447,9.89,60,12.54
2026-06-12,603858,步长制药,15.22,102.14,48.74,3.07,-0.3256215750007918,5.11,55,14.89
2026-06-12,000550,江铃汽车,17.41,126.02,53.25,3.45,-0.35760945119011467,5.01,55,17.01
2026-06-12,002041,登海种业,8.7,217.58,46.07,4.97,-0.3900081521695462,6.36,55,8.44
2026-06-12,600576,祥源文旅,6.18,265.83,56.0,7.85,-0.0211213337296412,9.96,45,5.93
2026-06-12,002088,鲁阳节能,8.95,49.43,48.46,7.13,-0.34578848965325726,9.95,45,8.61
2026-06-12,002215,诺 普 信,9.58,295.49,59.35,6.92,-0.29359120241021763,9.99,35,9.16
2026-06-12,603519,立霸股份,13.64,269.94,57.89,8.2,-0.2686275600417378,10.0,25,13.15
