date,code,name,price,amount_M,rsi_14,bias_ma5,diff,pct_chg,pearl_score,stop_loss
2026-07-10,002413,雷科防务,9.62,1548.54,45.73,5.58,-0.4731529302222093,7.01,90,9.28
2026-07-10,600151,航天机电,11.27,1115.57,43.76,6.68,-0.6091458647551811,7.95,75,10.86
2026-07-10,600986,浙文互联,7.0,1003.67,28.57,5.9,-0.5599720391652676,6.87,75,6.78
2026-07-10,002519,银河电子,5.98,690.93,45.0,7.44,-0.3280706423218156,9.32,70,5.74
2026-07-10,600855,航天长峰,13.82,369.77,43.6,4.32,-0.7492272257579788,6.23,65,13.41
2026-07-10,600821,金开新能,6.11,555.09,41.55,6.0,-0.4771478340117943,10.09,60,5.86
2026-07-10,002414,高德红外,14.64,2979.37,55.68,12.46,-0.036672105458439574,9.99,60,14.64
2026-07-10,002131,利欧股份,4.61,3512.79,28.65,6.32,-0.41690911513517204,5.98,60,4.45
2026-07-10,600399,抚顺特钢,4.13,414.04,33.04,2.33,-0.19705028478999775,5.9,60,4.01
2026-07-10,601608,中信重工,5.04,376.97,46.51,6.92,-0.20099558737217826,10.04,60,4.8
2026-07-10,600629,华建集团,12.75,339.5,25.75,7.49,-1.448134131915717,10.01,45,12.19
2026-07-10,603177,德创环保,8.65,105.24,25.99,5.0,-0.5733401020032591,8.67,40,8.28
2026-07-10,601858,中国科传,18.68,240.28,39.1,7.28,-1.479968629882702,10.01,30,17.79
