date,code,name,price,amount_M,rsi_14,bias_ma5,diff,pct_chg,pearl_score,stop_loss
2026-07-03,600203,福日电子,12.82,721.24,64.36,5.0,-0.02611730310174387,5.86,80,12.41
2026-07-03,002276,万马股份,10.72,457.5,48.96,4.97,-0.5552480875904173,6.14,75,10.48
2026-07-03,600222,太龙药业,7.91,343.42,50.14,6.2,-0.10168477572791446,8.36,70,7.63
2026-07-03,600143,金发科技,17.01,2008.42,58.1,8.82,-0.22541213406320182,10.03,60,16.52
2026-07-03,000678,襄阳轴承,9.59,322.22,47.56,8.09,-0.7507925686389747,6.79,55,9.34
2026-07-03,600081,东风科技,9.75,49.38,43.73,5.38,-0.4667850463541754,5.86,45,9.52
2026-07-03,002715,登云股份,14.73,129.47,51.84,8.13,-0.5542177578273506,10.01,40,14.04
2026-07-03,603809,豪能股份,9.82,397.53,40.4,8.63,-0.41474167654217453,7.79,40,9.5
2026-07-03,603768,常青股份,10.02,60.3,40.94,6.08,-0.4478717785975057,6.26,35,9.76
2026-07-03,603518,锦泓集团,8.19,137.53,46.72,9.17,-0.3361219754686928,8.62,35,7.86
2026-07-03,600992,贵绳股份,9.4,112.16,37.55,6.19,-0.7788210231495825,6.82,30,9.11
2026-07-03,002599,盛通股份,5.58,128.28,40.0,6.57,-0.319328595036378,6.29,25,5.44
2026-07-03,000016,深康佳Ａ,2.67,121.5,43.8,10.15,-0.19365163643021255,5.12,25,2.64
2026-07-03,600449,宁夏建材,13.2,236.34,53.47,11.56,-0.4208441173742834,6.54,25,12.75
