date,code,name,price,amount_M,rsi_14,bias_ma5,diff,pct_chg,pearl_score,stop_loss
2026-07-31,002115,三维通信,11.23,1302.55,47.16,4.68,-0.12041191186335176,9.99,100,10.88
2026-07-15,002624,完美世界,11.24,1357.72,44.16,2.69,-0.7659503300268877,6.04,85,10.92
2026-07-15,600155,华创云信,5.68,344.76,48.25,4.68,-0.058840307639837164,6.17,80,5.6
2026-07-15,000957,中通客车,9.8,149.25,51.82,5.15,-0.27130155816013257,6.18,55,9.65
2026-07-31,603819,神力股份,12.87,148.61,49.81,7.38,-0.13273801081749959,7.97,55,12.51
2026-07-15,002062,宏润建设,7.56,288.11,45.55,4.56,-0.25929016368181834,10.04,55,7.22
2026-07-15,605158,华达新材,6.69,77.92,44.4,5.29,-0.13941226186472555,6.36,55,6.76
2026-07-15,603811,诚意药业,7.81,105.28,21.32,5.51,-0.8667051070276859,5.4,40,7.6
2026-07-15,000722,湖南发展,12.0,227.3,52.3,8.28,-0.8067884227123514,9.99,40,11.75
2026-07-31,600458,时代新材,12.56,164.35,64.15,7.83,-0.7768024820692023,8.28,40,12.08
