date,code,name,price,amount_M,rsi_14,bias_ma5,diff,pct_chg,pearl_score,stop_loss
2026-07-01,002670,国盛证券,12.1,523.55,54.94,4.89,-0.13450697035975878,10.0,90,11.52
2026-07-01,000990,诚志股份,8.84,531.33,47.69,5.11,-0.43563112771850854,8.07,80,8.52
2026-07-01,002299,圣农发展,15.95,351.19,48.8,3.57,-0.47273344201727063,5.21,70,15.92
2026-07-01,002459,晶澳科技,8.72,1079.92,20.38,7.26,-0.45582426331558956,7.65,60,8.4
2026-07-01,600095,湘财股份,8.03,468.13,55.52,3.53,-0.20651116265598635,6.64,60,7.77
2026-07-01,601199,江南水务,5.91,108.51,58.86,4.68,-0.02707500704132748,6.68,55,5.72
2026-07-01,002795,永和智控,7.24,261.62,52.26,4.75,-0.37186068181296417,8.22,55,6.94
2026-07-01,002234,民和股份,6.85,92.11,47.45,3.98,-0.3107377576852244,6.86,55,6.82
2026-07-01,603609,禾丰股份,6.18,50.55,53.16,6.0,-0.17245251882515777,7.29,55,5.97
2026-07-01,600825,新华传媒,4.97,138.38,46.28,7.67,-0.19123605804941057,9.96,55,4.74
2026-07-01,600422,昆药集团,8.24,91.17,46.27,3.62,-0.29575895280583,5.51,55,8.06
2026-07-01,000501,武商集团,7.12,110.58,47.09,5.48,-0.2511847793154862,6.43,55,6.9
2026-07-01,001236,弘业期货,7.35,123.36,49.68,3.0,-0.38287866191123676,5.76,55,7.12
2026-07-01,002161,远 望 谷,5.92,155.02,54.69,6.4,-0.22711720449821726,10.04,45,5.7
2026-07-01,001217,华尔泰,9.15,69.34,43.3,5.0,-0.48763428887890115,8.54,45,8.78
2026-07-01,000757,浩物股份,3.75,97.73,45.28,6.59,-0.2113316031881074,9.97,45,3.58
2026-07-01,000059,华锦股份,4.06,199.8,43.08,4.59,-0.23895730938602888,8.27,45,3.9
2026-07-01,002889,东方嘉盛,11.2,98.54,46.85,6.54,-0.48445682514894095,8.11,45,10.75
2026-07-01,001313,粤海饲料,7.8,192.52,52.03,8.33,-0.24436283698348404,10.01,35,7.41
2026-07-01,600975,新五丰,4.74,128.45,48.23,8.12,-0.2026643868106719,9.98,35,4.53
