date,code,name,price,amount_M,rsi_14,bias_ma5,diff,pct_chg,pearl_score,stop_loss
2026-04-08,600143,金发科技,16.93,1231.37,48.36,3.42,-0.5266838441992476,6.34,95,16.6
2026-04-08,601600,中国铝业,12.23,5659.72,46.1,5.3,-0.45781489983575874,7.37,90,12.0
2026-04-08,000425,徐工机械,10.86,1694.63,51.31,4.68,-0.31417937997883527,8.71,90,10.6
2026-04-08,002465,海格通信,15.09,1016.07,41.4,3.24,-0.616406999859052,5.67,85,14.87
2026-04-08,002237,恒邦股份,15.61,711.77,46.28,4.61,-0.5744018594226947,6.48,85,15.4
2026-04-08,600531,豫光金铅,13.99,1023.63,45.85,6.16,-0.7701230021184333,9.64,85,13.65
2026-04-08,600497,驰宏锌锗,8.3,1073.27,40.49,4.72,-0.3846329437712406,6.14,80,8.2
2026-04-08,000630,铜陵有色,6.19,2273.51,43.67,4.67,-0.3031276259688589,6.36,80,6.11
2026-04-08,000060,中金岭南,6.44,820.32,45.57,4.48,-0.25789689792457704,6.1,80,6.35
2026-04-08,002131,利欧股份,7.95,3743.05,49.7,6.06,-0.20398717561223645,9.96,80,7.68
2026-04-08,601212,白银有色,8.54,2065.61,46.34,6.54,-0.41161910475259056,9.07,80,8.35
2026-04-08,002600,领益智造,13.33,1548.86,39.35,4.42,-0.5074663653795604,5.63,75,13.14
2026-04-08,002716,湖南白银,12.49,2605.29,44.7,6.3,-0.5824784525233042,10.04,75,12.24
2026-04-08,600331,宏达股份,15.88,1197.35,41.17,6.38,-0.5831916108190089,6.94,75,15.64
2026-04-08,000758,中色股份,6.86,342.76,45.62,4.26,-0.26265034326023073,5.21,70,6.78
2026-04-08,600588,用友网络,12.21,628.82,38.03,3.86,-0.5522435375659978,6.27,65,11.96
2026-04-08,603112,华翔股份,17.76,212.63,53.8,4.58,-0.13069524293806012,5.4,65,17.42
2026-04-08,600577,精达股份,12.58,910.22,36.06,3.88,-0.5616023735557061,5.89,65,12.39
2026-04-08,600986,浙文互联,10.1,947.22,43.55,6.29,-0.4913438175962437,10.02,60,9.78
2026-04-08,600353,旭光电子,14.71,362.57,39.02,3.91,-0.8429824441377303,5.9,55,14.43
2026-04-08,002410,广联达,11.56,495.04,37.8,3.9,-0.5215574444967395,5.86,55,11.34
2026-04-08,000551,创元科技,13.94,156.6,50.0,5.85,-0.33681955404679975,10.02,55,13.62
2026-04-08,603638,艾迪精密,20.43,141.34,42.92,3.71,-0.6765580126235413,5.64,50,20.22
2026-04-08,002249,大洋电机,9.38,455.5,39.17,3.14,-0.33263930897756566,5.27,50,9.24
2026-04-08,002279,久其软件,8.43,298.11,43.96,4.51,-0.24923820870897906,6.84,45,8.25
2026-04-08,603386,骏亚科技,13.9,112.56,44.34,4.29,-0.34284937792832615,5.62,45,13.66
2026-04-08,002474,榕基软件,7.88,155.32,43.4,3.88,-0.2811351136460116,5.91,45,7.74
2026-04-08,002765,蓝黛科技,10.31,187.31,40.4,4.04,-0.39112469831016483,6.73,45,10.07
2026-04-08,600356,恒丰纸业,9.41,205.96,52.39,8.24,-0.17402754782185426,10.06,45,9.06
2026-04-08,002123,梦网科技,10.21,225.68,42.56,3.97,-0.43147200558506604,6.47,45,10.01
2026-04-08,002527,新时达,13.82,117.4,37.66,3.27,-0.5674644068326877,5.1,40,13.62
2026-04-08,600416,湘电股份,12.83,292.56,39.4,2.77,-0.5036781866029862,5.16,40,12.64
2026-04-08,000837,秦川机床,10.8,185.02,36.2,3.35,-0.43948665415889643,5.26,35,10.64
2026-04-08,002708,光洋股份,12.79,250.5,50.1,8.04,-0.3278407547258073,9.97,35,12.41
