日期,股票代码,股票名称,收盘价,形态
2026-01-23,002195,岩山科技,10.51,涨停回调
2026-01-23,001278,一彬科技,21.45,涨停回调
2026-01-23,688479,友车科技,22.45,涨停回调
2026-01-23,600785,新华百货,22.96,涨停回调
2026-01-21,000612,焦作万方,13.37,涨停回调
2026-01-23,605366,宏柏新材,7.0,涨停回调
2026-01-23,601968,宝钢包装,6.06,涨停回调
2026-01-23,002584,西陇科学,9.88,涨停回调
2026-01-23,605162,新中港,9.49,涨停回调
2026-01-22,601900,南方传媒,15.54,涨停回调
2026-01-23,603161,科华控股,15.81,涨停回调
2026-01-23,600724,宁波富达,6.77,涨停回调
2026-01-21,002203,海亮股份,15.33,涨停回调
2026-01-23,601116,三江购物,17.16,涨停回调
2026-01-22,603888,新华网,23.95,涨停回调
2026-01-23,002331,皖通科技,10.01,涨停回调
2026-01-23,001896,豫能控股,6.4,涨停回调
2026-01-22,600556,天下秀,7.49,涨停回调
