日期,股票代码,股票名称,收盘价,形态
2026-01-23,688223,晶科能源,6.9,年线支撑
2026-01-23,600116,三峡水利,6.8,年线支撑
2026-01-23,600732,爱旭股份,14.74,年线支撑
2026-01-23,002932,明德生物,19.36,年线支撑
2026-01-22,002635,安洁科技,14.48,年线支撑
2026-01-23,000877,天山股份,5.72,年线支撑
2026-01-23,002580,圣阳股份,13.47,年线支撑
2026-01-23,000801,四川九洲,16.79,年线支撑
2026-01-21,002139,拓邦股份,14.41,年线支撑
2026-01-22,600757,长江传媒,9.16,年线支撑
2026-01-23,603693,江苏新能,12.82,年线支撑
2026-01-23,002685,华东重机,7.6,年线支撑
2026-01-23,003013,地铁设计,15.1,年线支撑
2026-01-23,002075,沙钢股份,6.25,年线支撑
2026-01-23,002229,鸿博股份,16.17,年线支撑
2026-01-23,603551,奥普科技,11.35,年线支撑
2026-01-23,600987,航民股份,7.24,年线支撑
2026-01-23,688315,诺禾致源,17.0,年线支撑
2026-01-23,002500,山西证券,6.11,年线支撑
2026-01-23,600864,哈投股份,6.73,年线支撑
2026-01-23,603956,威派格,6.98,年线支撑
2026-01-23,000822,山东海化,5.85,年线支撑
2026-01-23,600059,古越龙山,9.35,草上飞
2026-01-23,603136,天目湖,12.2,年线支撑
2026-01-23,600661,昂立教育,10.86,年线支撑
2026-01-23,601963,重庆银行,10.44,年线支撑
2026-01-23,600127,金健米业,6.91,年线支撑
2026-01-23,000541,佛山照明,6.48,年线支撑
2026-01-23,002883,中设股份,11.51,年线支撑
2026-01-23,600405,动力源,5.68,年线支撑
2026-01-22,601033,永兴股份,15.53,年线支撑
2026-01-23,000019,深粮控股,7.1,草上飞
2026-01-23,603201,XD常润股,18.03,年线支撑
2026-01-23,002016,世荣兆业,6.22,草上飞
2026-01-22,600616,金枫酒业,5.68,年线支撑
2026-01-23,001324,长青科技,19.41,年线支撑
2026-01-23,000529,广弘控股,6.16,年线支撑
2026-01-23,600916,中国黄金,9.22,年线支撑
2026-01-22,688148,芳源股份,9.54,草上飞
2026-01-23,002722,物产金轮,16.15,年线支撑
2026-01-21,601177,杭齿前进,17.68,年线支撑
2026-01-23,002227,奥 特 迅,12.87,年线支撑
2026-01-23,002673,西部证券,8.11,年线支撑
2026-01-23,600037,歌华有线,8.05,年线支撑
2026-01-22,002101,广东鸿图,12.75,年线支撑
2026-01-23,002030,达安基因,6.37,年线支撑
2026-01-23,603927,中科软,20.63,年线支撑
2026-01-22,603609,禾丰股份,7.37,草上飞
2026-01-21,002184,海得控制,13.79,年线支撑
2026-01-23,600080,金花股份,8.09,草上飞
2026-01-23,688247,宣泰医药,10.67,年线支撑
2026-01-22,002027,分众传媒,7.4,年线支撑
2026-01-23,002660,茂硕电源,9.89,年线支撑
2026-01-23,000507,珠海港,5.48,年线支撑
2026-01-23,000014,沙河股份,13.76,年线支撑
2026-01-23,601918,新集能源,7.03,草上飞
2026-01-23,600956,新天绿能,7.7,年线支撑
2026-01-22,603327,福蓉科技,11.18,年线支撑
2026-01-23,002313,日海智能,10.57,年线支撑
2026-01-22,600817,宇通重工,11.88,年线支撑
2026-01-23,002022,科华生物,6.32,年线支撑
2026-01-23,600101,明星电力,10.1,年线支撑
2026-01-23,688505,复旦张江,8.93,年线支撑
2026-01-23,000715,中兴商业,6.65,年线支撑
2026-01-23,002719,麦趣尔,9.21,草上飞
2026-01-23,000828,东莞控股,11.01,年线支撑
2026-01-22,603113,金能科技,6.65,年线支撑
2026-01-23,002982,湘佳股份,14.26,草上飞
2026-01-23,600056,中国医药,10.74,年线支撑
2026-01-23,002926,华西证券,9.28,年线支撑
2026-01-23,603982,泉峰汽车,9.06,年线支撑
2026-01-23,002930,宏川智慧,11.23,草上飞
2026-01-23,603110,东方材料,17.16,年线支撑
2026-01-23,600479,千金药业,10.57,年线支撑
2026-01-23,002034,旺能环境,17.1,年线支撑
2026-01-22,002073,软控股份,8.56,年线支撑
2026-01-22,603227,雪峰科技,8.62,草上飞
2026-01-23,600876,凯盛新能,10.91,年线支撑
2026-01-23,000011,深物业A,9.08,年线支撑
2026-01-23,688567,孚能科技,16.34,年线支撑
2026-01-23,002065,东华软件,10.07,年线支撑
2026-01-23,002355,兴民智通,6.8,年线支撑
2026-01-23,688389,普门科技,14.26,年线支撑
2026-01-23,000537,中绿电,8.74,年线支撑
2026-01-23,002530,金财互联,10.88,年线支撑
