日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-02-04,000815,美利云,13.83,回踩MA5阴线,0.04,17.49
2026-02-04,600352,浙江龙盛,13.7,回踩MA10阴线,0.22,21.75
2026-02-04,002400,省广集团,11.98,回踩MA5阴线,0.47,45.74
2026-02-04,600589,大位科技,9.89,回踩MA10阴线,0.72,18.76
2026-02-04,002279,久其软件,10.06,回踩MA10阴线,0.74,10.13
2026-02-04,601118,海南橡胶,6.72,回踩MA10阴线,0.78,12.32
2026-02-04,002195,岩山科技,9.84,回踩MA10阴线,-0.84,51.4
2026-02-04,002115,三维通信,15.3,回踩MA10阴线,0.99,18.03
2026-02-04,002185,华天科技,14.07,回踩MA10阴线,-1.24,52.03
2026-02-04,600610,中毅达,11.81,回踩MA10阴线,-1.3,12.06
