日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-01-31,600556,天下秀,7.61,回踩MA10阴线,-0.09,19.2
2026-01-31,600703,三安光电,16.16,回踩MA10阴线,0.17,22.94
2026-01-31,600172,黄河旋风,6.55,回踩MA10阴线,0.24,14.61
2026-01-31,002490,山东墨龙,9.0,回踩MA5阴线,-0.51,11.55
2026-01-31,601600,中国铝业,14.13,回踩MA5阴线,-0.63,111.55
2026-01-31,002429,兆驰股份,9.69,回踩MA10阴线,-0.67,19.41
2026-01-31,600633,浙数文化,15.47,回踩MA10阴线,0.69,10.3
2026-01-31,000758,中色股份,7.92,回踩MA10阴线,0.78,13.75
2026-01-31,601117,中国化学,8.9,回踩MA10阴线,0.85,16.84
2026-01-31,002471,中超控股,7.83,回踩MA10阴线,-0.92,17.62
2026-01-31,603806,福斯特,17.01,回踩MA10阴线,0.94,12.1
2026-01-31,601677,明泰铝业,16.78,回踩MA10阴线,1.43,14.76
