date,code,name,price
2026-06-13,600711,盛屯矿业,13.0
2026-06-13,603269,海鸥股份,22.81
2026-06-13,600499,科达制造,15.66
2026-06-13,603815,交建股份,6.07
2026-06-13,603885,吉祥航空,11.35
2026-06-13,600470,六国化工,5.99
2026-06-13,002212,天融信,6.35
2026-06-13,000973,佛塑科技,15.06
2026-06-13,600857,宁波中百,15.58
2026-06-13,002476,宝莫股份,5.32
2026-06-13,603528,多伦科技,7.13
2026-06-13,002892,科力尔,10.5
2026-06-13,000758,中色股份,6.96
2026-06-13,601696,中银证券,11.54
2026-06-13,002448,中原内配,12.57
2026-06-13,603599,广信股份,11.02
2026-06-13,000686,东北证券,7.83
2026-06-13,000612,焦作万方,11.43
2026-06-13,002203,海亮股份,23.44
2026-06-13,600601,方正科技,12.89
2026-06-13,600576,祥源文旅,6.18
2026-06-13,000510,新金路,19.37
2026-06-13,603856,东宏股份,12.55
2026-06-13,600765,中航重机,14.02
2026-06-13,002611,东方精工,18.41
2026-06-13,603878,武进不锈,6.29
2026-06-13,600163,中闽能源,6.23
2026-06-13,002215,诺 普 信,9.58
