date,code,name,price
2026-03-02,000048,京基智农,19.06
2026-03-02,002734,利民股份,22.48
2026-03-02,002312,川发龙蟒,13.75
2026-03-02,688599,天合光能,20.89
2026-03-02,688472,阿特斯,18.05
2026-03-02,603608,天创时尚,8.33
2026-03-02,688315,诺禾致源,17.0
2026-03-02,600501,航天晨光,26.16
2026-03-02,600481,双良节能,9.37
2026-03-02,600522,中天科技,29.14
2026-03-02,603279,景津装备,21.04
2026-03-02,600459,贵研铂业,25.85
2026-03-02,603013,亚普股份,23.18
2026-03-02,002633,申科股份,19.35
2026-03-02,002576,通达动力,19.99
2026-03-02,600281,华阳新材,6.75
2026-03-02,603878,武进不锈,9.65
2026-03-02,002626,金达威,20.03
2026-03-02,603065,宿迁联盛,9.65
2026-03-02,002394,联发股份,15.66
2026-03-02,002787,华源控股,14.25
2026-03-02,002935,天奥电子,22.09
2026-03-02,600793,宜宾纸业,23.41
2026-03-02,002973,侨银股份,15.59
2026-03-02,002718,友邦吊顶,32.67
2026-03-02,002271,东方雨虹,18.75
2026-03-02,603017,中衡设计,13.28
2026-03-02,000777,中核科技,23.46
2026-03-02,603505,金石资源,22.29
2026-03-02,688223,晶科能源,6.9
2026-03-02,000791,甘肃能源,7.71
2026-03-02,688567,孚能科技,16.34
2026-03-02,600216,浙江医药,16.57
2026-03-02,001896,豫能控股,11.03
2026-03-02,600475,华光环能,22.23
2026-03-02,002163,海南发展,20.68
2026-03-02,600126,杭钢股份,9.94
2026-03-02,603895,天永智能,29.3
2026-03-02,605003,众望布艺,28.63
2026-03-02,603665,康隆达,31.93
2026-03-02,603318,水发燃气,8.02
2026-03-02,600592,龙溪股份,26.79
2026-03-02,601226,华电科工,12.45
2026-03-02,688586,江航装备,15.68
2026-03-02,600714,金瑞矿业,17.96
2026-03-02,688299,长阳科技,19.91
2026-03-02,603036,如通股份,20.9
2026-03-02,000636,风华高科,25.74
2026-03-02,688429,时创能源,15.5
