序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,001369,N双欣,19.68,187.3,12.83,1459908.0,3045223667.88,78.83,25.0,19.6,19.6,6.85,,72.62,41.9,3.32,22572960000.0,3956258356.0,-0.05,-0.05,187.3,187.3
2,688809,N强一,226.01,165.61,140.92,180690.0,4345152944.0,66.51,276.82,220.23,265.6,85.09,,74.2,87.92,7.5,29281697393.0,5504023564.0,0.09,0.0,165.61,165.61
3,001396,N誉帆,50.01,124.36,27.72,166619.0,941254449.51,65.1,64.5,49.99,60.0,22.29,,75.03,52.29,3.87,5346189824.0,1110579271.0,0.0,-0.5,124.36,124.36
4,920270,天铭科技,19.76,30.0,4.56,93484.0,171685405.58,28.03,19.76,15.5,15.5,15.2,11.59,11.52,44.29,5.07,2067212160.0,1603095544.0,0.0,0.0,2.38,98.99
5,688160,步科股份,145.99,20.0,24.33,60130.0,805264931.0,23.0,145.99,118.01,120.9,121.66,2.37,7.16,223.35,10.47,13260593754.0,12263160000.0,0.0,0.0,42.01,155.85
6,300840,酷特智能,19.56,20.0,3.26,422545.0,802678592.61,12.09,19.56,17.59,17.59,16.3,5.91,23.86,85.34,3.67,4694400000.0,3463785241.0,0.0,0.0,0.0,-1.81
7,300885,海昌新材,30.98,19.98,5.16,441575.0,1249733003.24,23.12,30.98,25.01,25.43,25.82,2.23,26.44,135.33,8.74,7687742764.0,5174210670.0,0.0,0.0,27.12,184.74
8,300291,百纳千成,7.76,19.94,1.29,1971588.0,1439754362.03,20.71,7.76,6.42,6.57,6.47,4.75,21.18,-81.17,2.39,7309063692.0,7222687077.0,0.0,0.13,14.96,54.27
9,300503,昊志机电,63.8,18.59,10.0,814531.0,4760407559.87,25.69,64.56,50.74,50.74,53.8,1.73,33.8,121.31,14.63,19664868883.0,15374211316.0,-0.16,1.14,105.61,238.1
10,920510,丰光精密,23.48,17.58,3.51,173131.0,380087848.23,28.84,25.16,19.4,19.96,19.97,3.8,18.44,-369.2,10.79,4325343053.0,2204750351.0,0.09,0.56,18.59,42.22
11,300579,数字认证,34.99,17.46,5.2,323205.0,1123153306.48,18.09,35.75,30.36,30.36,29.79,7.69,12.32,-61.92,12.08,9447300000.0,9177127934.0,0.11,0.63,1.72,11.47
12,301261,恒工精密,98.09,13.11,11.37,114367.0,1085933407.91,20.81,103.06,85.01,85.01,86.72,4.48,30.51,82.71,5.6,8621149326.0,3676738957.0,0.09,0.04,0.41,140.53
13,301225,恒勃股份,155.71,11.95,16.62,46142.0,682250444.24,18.12,162.31,137.1,145.37,139.09,2.24,15.44,128.19,10.49,16097299800.0,4652926220.0,0.01,0.1,72.36,495.91
14,301330,熵基科技,33.06,11.58,3.43,177146.0,572034641.34,12.18,33.38,29.77,29.77,29.63,6.07,15.55,45.51,2.29,7780722243.0,3766025635.0,0.0,0.09,1.79,50.2
15,301161,唯万密封,37.08,11.35,3.78,184920.0,677509326.16,13.69,39.06,34.5,35.11,33.3,3.45,15.41,47.82,4.83,4449600000.0,4449600000.0,0.03,0.0,-6.2,74.17
16,688577,浙海德曼,100.67,11.24,10.17,27847.0,270955815.0,12.88,101.98,90.32,91.66,90.5,2.3,2.5,272.01,11.22,11202530318.0,11202530318.0,-0.13,-0.47,-15.0,265.28
17,301123,奕东电子,79.5,11.17,7.99,341901.0,2641639416.52,17.76,82.0,69.3,69.37,71.51,1.03,14.64,487.78,6.46,18653880000.0,18571200000.0,0.61,0.72,79.66,290.66
18,301413,安培龙,137.3,10.95,13.55,107633.0,1422416775.94,20.43,146.78,121.5,122.08,123.75,2.85,18.32,138.56,10.8,13510592541.0,8066360446.0,0.04,0.22,-19.71,158.03
19,920810,春光智能,13.88,10.95,1.37,60841.0,82097274.6,16.07,14.31,12.3,12.46,12.51,6.3,9.75,242.81,5.74,1331092000.0,866216725.0,-0.07,0.14,-8.08,124.96
20,688698,伟创电气,103.55,10.81,10.1,123946.0,1196177842.0,12.36,103.55,92.0,92.75,93.45,1.64,5.8,73.92,9.56,22138448848.0,22138448848.0,0.15,0.55,16.83,137.61
21,300322,硕贝德,27.29,10.71,2.64,1300501.0,3573844696.87,20.12,29.58,24.62,24.73,24.65,2.07,29.53,185.69,12.59,12554441195.0,12019355522.0,0.04,0.11,17.12,108.16
22,300421,力星股份,35.95,10.58,3.44,764385.0,2638485433.67,23.04,39.01,31.52,31.96,32.51,1.47,33.18,153.5,8.33,10570395900.0,8280869388.0,0.0,-0.17,87.14,224.75
23,300456,赛微电子,62.15,10.47,5.89,1204000.0,7146340295.25,12.69,62.49,55.35,56.0,56.26,1.37,20.15,21.66,6.69,45507046278.0,37131460198.0,0.0,0.26,148.1,261.76
