代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
603050,科林电气,18.77,0.86%,强,69.23%,轻仓试错,"缩量回踩11日支撑,历史触发39次"
600678,四川金顶,12.89,1.9%,极强 (一击必中),100.00%,分批建仓,"缩量回踩40日支撑,历史触发7次"
002462,嘉事堂,16.07,-1.71%,极强 (一击必中),71.43%,分批建仓,"缩量回踩30日支撑,历史触发21次"
600658,电子城,5.81,-1.02%,极强 (一击必中),68.42%,分批建仓,"缩量回踩13日支撑,历史触发19次"
000422,湖北宜化,15.06,-0.92%,强,78.12%,轻仓试错,"缩量回踩10日支撑,历史触发32次"
600039,四川路桥,10.11,-1.08%,强,62.50%,轻仓试错,"缩量回踩13日支撑,历史触发32次"
002040,南 京 港,10.25,-1.25%,极强 (一击必中),81.82%,分批建仓,"缩量回踩37日支撑,历史触发11次"
002420,毅昌科技,7.71,0.39%,极强 (一击必中),69.23%,分批建仓,"缩量回踩25日支撑,历史触发13次"
601666,平煤股份,8.14,-1.45%,极强 (一击必中),60.00%,分批建仓,"缩量回踩40日支撑,历史触发10次"
600860,京城股份,12.31,-1.6%,极强 (一击必中),66.67%,分批建仓,"缩量回踩38日支撑,历史触发21次"
002277,友阿股份,7.66,-0.39%,极强 (一击必中),80.00%,分批建仓,"缩量回踩11日支撑,历史触发30次"
002459,晶澳科技,11.6,0.52%,极强 (一击必中),75.00%,分批建仓,"缩量回踩25日支撑,历史触发12次"
600510,黑牡丹,8.93,-1.22%,极强 (一击必中),90.00%,分批建仓,"缩量回踩37日支撑,历史触发10次"
003036,泰坦股份,16.15,-0.92%,极强 (一击必中),62.50%,分批建仓,"缩量回踩12日支撑,历史触发32次"
600797,浙大网新,10.96,-4.78%,极强 (一击必中),71.43%,分批建仓,"缩量回踩10日支撑,历史触发35次"
002900,哈三联,13.11,0.54%,极强 (一击必中),71.43%,分批建仓,"缩量回踩12日支撑,历史触发28次"
600973,宝胜股份,7.63,-0.26%,极强 (一击必中),65.38%,分批建仓,"缩量回踩14日支撑,历史触发26次"
600586,金晶科技,5.95,-2.78%,极强 (一击必中),71.43%,分批建仓,"缩量回踩36日支撑,历史触发21次"
000039,中集集团,9.66,0.31%,强,73.33%,轻仓试错,"缩量回踩28日支撑,历史触发15次"
601218,吉鑫科技,5.23,0.97%,强,66.67%,轻仓试错,"缩量回踩15日支撑,历史触发30次"
002209,达 意 隆,16.32,-4.0%,强,80.00%,轻仓试错,"缩量回踩19日支撑,历史触发10次"
002174,游族网络,12.52,-4.35%,极强 (一击必中),75.00%,分批建仓,"缩量回踩20日支撑,历史触发12次"
600706,曲江文旅,11.04,-3.5%,强,65.62%,轻仓试错,"缩量回踩14日支撑,历史触发32次"
000610,西安旅游,13.17,-1.2%,强,64.29%,轻仓试错,"缩量回踩11日支撑,历史触发42次"
002176,江特电机,9.89,-1.98%,极强 (一击必中),78.95%,分批建仓,"缩量回踩27日支撑,历史触发19次"
002515,金字火腿,6.18,-0.48%,极强 (一击必中),62.07%,分批建仓,"缩量回踩12日支撑,历史触发29次"
601512,中新集团,9.27,-0.86%,极强 (一击必中),64.29%,分批建仓,"缩量回踩27日支撑,历史触发14次"
600859,王府井,15.08,-3.02%,强,75.86%,轻仓试错,"缩量回踩30日支撑,历史触发29次"
603709,中源家居,17.28,-0.92%,极强 (一击必中),70.37%,分批建仓,"缩量回踩10日支撑,历史触发27次"
002099,海翔药业,6.52,-2.54%,极强 (一击必中),64.29%,分批建仓,"缩量回踩20日支撑,历史触发14次"
603269,海鸥股份,13.05,-0.76%,极强 (一击必中),93.33%,分批建仓,"缩量回踩33日支撑,历史触发15次"
000920,沃顿科技,12.97,1.81%,强,61.76%,轻仓试错,"缩量回踩12日支撑,历史触发34次"
002066,瑞泰科技,19.63,1.24%,极强 (一击必中),80.00%,分批建仓,"缩量回踩29日支撑,历史触发10次"
605055,迎丰股份,9.62,1.26%,极强 (一击必中),85.71%,分批建仓,"缩量回踩38日支撑,历史触发7次"
601098,中南传媒,11.27,-2.25%,极强 (一击必中),80.00%,分批建仓,"缩量回踩31日支撑,历史触发5次"
603999,读者传媒,7.34,-3.55%,极强 (一击必中),63.64%,分批建仓,"缩量回踩38日支撑,历史触发11次"
