代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
603050,科林电气,18.14,-0.87%,强,77.78%,轻仓试错,"缩量回踩35日支撑,历史触发9次"
600732,爱旭股份,13.69,-0.8%,强,90.00%,轻仓试错,"缩量回踩12日支撑,历史触发30次"
002676,顺威股份,8.48,1.44%,强,61.54%,轻仓试错,"缩量回踩12日支撑,历史触发26次"
000801,四川九洲,17.5,1.8%,强,67.44%,轻仓试错,"缩量回踩13日支撑,历史触发43次"
000422,湖北宜化,15.0,1.42%,强,82.61%,轻仓试错,"缩量回踩15日支撑,历史触发23次"
000035,中国天楹,5.73,-0.87%,强,61.29%,轻仓试错,"缩量回踩11日支撑,历史触发31次"
603212,赛伍技术,14.31,-0.35%,极强 (一击必中),83.33%,分批建仓,"缩量回踩29日支撑,历史触发12次"
002383,合众思壮,12.94,-5.2%,极强 (一击必中),72.00%,分批建仓,"缩量回踩16日支撑,历史触发25次"
600860,京城股份,12.57,-0.95%,强,68.42%,轻仓试错,"缩量回踩38日支撑,历史触发19次"
600110,诺德股份,7.39,0.0%,强,81.48%,轻仓试错,"缩量回踩12日支撑,历史触发27次"
002448,中原内配,12.82,0.39%,强,89.47%,轻仓试错,"缩量回踩20日支撑,历史触发19次"
000061,农 产 品,9.94,1.43%,强,76.19%,轻仓试错,"缩量回踩16日支撑,历史触发21次"
002701,奥瑞金,5.9,-0.67%,极强 (一击必中),66.67%,分批建仓,"缩量回踩40日支撑,历史触发18次"
002249,大洋电机,10.84,0.0%,强,61.11%,轻仓试错,"缩量回踩12日支撑,历史触发18次"
600744,华银电力,6.18,-0.32%,强,64.29%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
000425,徐工机械,11.06,-2.38%,强,100.00%,轻仓试错,"缩量回踩30日支撑,历史触发7次"
600302,标准股份,10.69,1.81%,强,73.91%,轻仓试错,"缩量回踩17日支撑,历史触发23次"
601699,潞安环能,12.64,-2.09%,强,72.00%,轻仓试错,"缩量回踩11日支撑,历史触发25次"
600859,王府井,15.57,0.32%,强,67.39%,轻仓试错,"缩量回踩10日支撑,历史触发46次"
002836,新宏泽,15.58,0.13%,极强 (一击必中),100.00%,分批建仓,"缩量回踩34日支撑,历史触发9次"
603222,济民健康,9.76,0.31%,强,75.00%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
600577,精达股份,14.03,-4.04%,强,81.25%,轻仓试错,"缩量回踩10日支撑,历史触发32次"
002939,长城证券,10.32,-0.77%,强,66.67%,轻仓试错,"缩量回踩35日支撑,历史触发9次"
