代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
603901,永创智能,15.11,0.94%,强,65.85%,轻仓试错,"缩量回踩11日支撑,历史触发41次"
000683,博源化工,7.37,-2.38%,强,62.50%,轻仓试错,"缩量回踩22日支撑,历史触发24次"
603668,天马科技,17.1,0.29%,强,67.57%,轻仓试错,"缩量回踩10日支撑,历史触发37次"
600367,红星发展,18.19,-2.47%,强,65.22%,轻仓试错,"缩量回踩13日支撑,历史触发23次"
002782,可立克,19.2,0.05%,强,65.52%,轻仓试错,"缩量回踩17日支撑,历史触发29次"
000422,湖北宜化,14.76,-1.01%,强,80.00%,轻仓试错,"缩量回踩16日支撑,历史触发20次"
002685,华东重机,7.87,1.16%,强,66.67%,轻仓试错,"缩量回踩12日支撑,历史触发21次"
603221,爱丽家居,13.38,-1.04%,极强 (一击必中),72.97%,分批建仓,"缩量回踩11日支撑,历史触发37次"
600110,诺德股份,7.59,1.47%,强,80.77%,轻仓试错,"缩量回踩12日支撑,历史触发26次"
603359,东珠生态,8.78,-9.95%,极强 (一击必中),76.19%,分批建仓,"缩量回踩20日支撑,历史触发21次"
002448,中原内配,12.89,-2.05%,强,89.47%,轻仓试错,"缩量回踩20日支撑,历史触发19次"
002805,丰元股份,17.7,1.32%,强,76.19%,轻仓试错,"缩量回踩33日支撑,历史触发21次"
002900,哈三联,13.1,1.08%,强,65.38%,轻仓试错,"缩量回踩12日支撑,历史触发26次"
000061,农 产 品,9.9,-1.49%,强,81.82%,轻仓试错,"缩量回踩16日支撑,历史触发22次"
002249,大洋电机,11.2,1.91%,强,61.11%,轻仓试错,"缩量回踩12日支撑,历史触发18次"
000045,深纺织Ａ,12.53,0.72%,强,62.96%,轻仓试错,"缩量回踩10日支撑,历史触发27次"
002492,恒基达鑫,8.25,-2.37%,强,63.64%,轻仓试错,"缩量回踩25日支撑,历史触发22次"
000610,西安旅游,12.72,1.27%,强,62.50%,轻仓试错,"缩量回踩11日支撑,历史触发40次"
002691,冀凯股份,9.11,1.79%,强,78.12%,轻仓试错,"缩量回踩12日支撑,历史触发32次"
002515,金字火腿,6.27,0.32%,强,60.00%,轻仓试错,"缩量回踩12日支撑,历史触发25次"
603709,中源家居,17.05,0.47%,强,70.37%,轻仓试错,"缩量回踩10日支撑,历史触发27次"
002825,纳尔股份,11.8,1.03%,强,90.00%,轻仓试错,"缩量回踩40日支撑,历史触发10次"
000920,沃顿科技,12.8,0.08%,强,67.74%,轻仓试错,"缩量回踩12日支撑,历史触发31次"
603730,岱美股份,8.3,-3.04%,强,85.71%,轻仓试错,"缩量回踩20日支撑,历史触发28次"
601969,海南矿业,11.72,1.65%,强,73.68%,轻仓试错,"缩量回踩15日支撑,历史触发19次"
000599,青岛双星,6.35,-0.63%,强,80.00%,轻仓试错,"缩量回踩34日支撑,历史触发20次"
000721,西安饮食,9.33,1.97%,强,65.71%,轻仓试错,"缩量回踩10日支撑,历史触发35次"
600712,南宁百货,7.05,1.59%,强,60.00%,轻仓试错,"缩量回踩24日支撑,历史触发20次"
002455,百川股份,7.11,-0.28%,强,61.54%,轻仓试错,"缩量回踩19日支撑,历史触发26次"
601677,明泰铝业,14.85,-0.67%,强,72.97%,轻仓试错,"缩量回踩13日支撑,历史触发37次"
002370,亚太药业,7.61,-2.31%,强,71.43%,轻仓试错,"缩量回踩10日支撑,历史触发21次"
000009,中国宝安,10.26,0.1%,强,66.67%,轻仓试错,"缩量回踩28日支撑,历史触发9次"
603316,诚邦股份,15.24,-0.46%,强,66.67%,轻仓试错,"缩量回踩10日支撑,历史触发33次"
603132,金徽股份,15.41,-0.9%,强,63.83%,轻仓试错,"缩量回踩10日支撑,历史触发47次"
002686,亿利达,6.75,1.2%,强,72.73%,轻仓试错,"缩量回踩35日支撑,历史触发11次"
002276,万马股份,17.22,1.12%,强,60.71%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
002062,宏润建设,9.32,1.97%,强,94.44%,轻仓试错,"缩量回踩11日支撑,历史触发18次"
600234,科新发展,12.49,-0.79%,强,75.00%,轻仓试错,"缩量回踩36日支撑,历史触发8次"
603871,嘉友国际,14.05,1.89%,强,64.10%,轻仓试错,"缩量回踩10日支撑,历史触发39次"
603886,元祖股份,13.92,1.02%,强,78.95%,轻仓试错,"缩量回踩30日支撑,历史触发19次"
600601,方正科技,12.77,-1.92%,极强 (一击必中),73.33%,分批建仓,"缩量回踩10日支撑,历史触发30次"
002603,以岭药业,17.78,-0.73%,强,63.16%,轻仓试错,"缩量回踩18日支撑,历史触发19次"
002824,和胜股份,19.59,0.51%,强,66.67%,轻仓试错,"缩量回踩14日支撑,历史触发21次"
002197,ST证通,10.76,2.97%,强,72.50%,轻仓试错,"缩量回踩11日支撑,历史触发40次"
605001,威奥股份,7.85,0.77%,极强 (一击必中),67.74%,分批建仓,"缩量回踩12日支撑,历史触发31次"
605555,德昌股份,18.76,0.16%,强,76.32%,轻仓试错,"缩量回踩10日支撑,历史触发38次"
000586,汇源通信,13.42,1.28%,强,76.47%,轻仓试错,"缩量回踩29日支撑,历史触发17次"
000417,合百集团,8.36,1.21%,强,82.61%,轻仓试错,"缩量回踩23日支撑,历史触发23次"
002476,宝莫股份,7.19,0.28%,极强 (一击必中),67.35%,分批建仓,"缩量回踩13日支撑,历史触发49次"
600272,开开实业,14.5,1.33%,强,72.97%,轻仓试错,"缩量回踩10日支撑,历史触发37次"
601377,兴业证券,7.29,0.69%,极强 (一击必中),90.00%,分批建仓,"缩量回踩37日支撑,历史触发10次"
