代码,name,当前收盘,涨跌幅,信号强度,回测胜率,操作建议,战法分析
002676,顺威股份,8.47,1.32%,强,61.90%,轻仓试错,"缩量回踩11日支撑,历史触发21次"
600730,中国高科,12.49,-1.65%,强,73.33%,轻仓试错,"缩量回踩30日支撑,历史触发15次"
600097,开创国际,11.85,1.28%,强,61.76%,轻仓试错,"缩量回踩16日支撑,历史触发34次"
002685,华东重机,7.78,0.13%,强,66.67%,轻仓试错,"缩量回踩12日支撑,历史触发21次"
603221,爱丽家居,13.52,-1.6%,极强 (一击必中),72.22%,分批建仓,"缩量回踩11日支撑,历史触发36次"
600510,黑牡丹,8.96,0.11%,极强 (一击必中),93.75%,分批建仓,"缩量回踩29日支撑,历史触发16次"
603759,海天股份,10.7,-0.28%,强,100.00%,轻仓试错,"缩量回踩33日支撑,历史触发2次"
605155,西大门,17.15,1.18%,极强 (一击必中),64.00%,分批建仓,"缩量回踩15日支撑,历史触发25次"
000061,农 产 品,10.05,0.9%,强,82.61%,轻仓试错,"缩量回踩16日支撑,历史触发23次"
002771,真视通,15.87,1.99%,强,83.33%,轻仓试错,"缩量回踩40日支撑,历史触发6次"
002072,凯瑞德,7.71,-4.22%,强,68.57%,轻仓试错,"缩量回踩10日支撑,历史触发35次"
000973,佛塑科技,13.95,-1.06%,极强 (一击必中),72.73%,分批建仓,"缩量回踩16日支撑,历史触发22次"
002249,大洋电机,10.99,1.67%,强,61.11%,轻仓试错,"缩量回踩12日支撑,历史触发18次"
603058,永吉股份,9.66,0.31%,强,91.67%,轻仓试错,"缩量回踩19日支撑,历史触发12次"
000610,西安旅游,12.56,0.08%,强,60.98%,轻仓试错,"缩量回踩11日支撑,历史触发41次"
002691,冀凯股份,8.95,1.94%,强,78.12%,轻仓试错,"缩量回踩12日支撑,历史触发32次"
002491,通鼎互联,6.16,0.65%,强,77.78%,轻仓试错,"缩量回踩27日支撑,历史触发18次"
002515,金字火腿,6.25,0.32%,强,68.75%,轻仓试错,"缩量回踩16日支撑,历史触发16次"
603001,奥康国际,8.59,1.06%,强,63.64%,轻仓试错,"缩量回踩24日支撑,历史触发11次"
603709,中源家居,16.97,0.83%,强,71.43%,轻仓试错,"缩量回踩10日支撑,历史触发28次"
000920,沃顿科技,12.79,-0.23%,强,66.67%,轻仓试错,"缩量回踩12日支撑,历史触发30次"
002066,瑞泰科技,18.93,-1.2%,强,72.73%,轻仓试错,"缩量回踩26日支撑,历史触发11次"
601969,海南矿业,11.53,0.44%,极强 (一击必中),73.68%,分批建仓,"缩量回踩15日支撑,历史触发19次"
600884,杉杉股份,13.86,-1.0%,强,66.67%,轻仓试错,"缩量回踩20日支撑,历史触发24次"
600749,西藏旅游,17.28,0.12%,极强 (一击必中),66.67%,分批建仓,"缩量回踩33日支撑,历史触发3次"
600712,南宁百货,6.94,1.17%,强,60.00%,轻仓试错,"缩量回踩24日支撑,历史触发20次"
601677,明泰铝业,14.95,0.88%,极强 (一击必中),72.22%,分批建仓,"缩量回踩12日支撑,历史触发36次"
000009,中国宝安,10.25,0.79%,强,66.67%,轻仓试错,"缩量回踩28日支撑,历史触发9次"
603316,诚邦股份,15.31,-1.16%,极强 (一击必中),77.78%,分批建仓,"缩量回踩35日支撑,历史触发9次"
000823,超声电子,14.27,1.13%,强,65.62%,轻仓试错,"缩量回踩12日支撑,历史触发32次"
002600,领益智造,16.66,1.4%,强,88.00%,轻仓试错,"缩量回踩11日支撑,历史触发25次"
002686,亿利达,6.67,0.6%,强,72.73%,轻仓试错,"缩量回踩35日支撑,历史触发11次"
002062,宏润建设,9.14,-1.72%,强,94.12%,轻仓试错,"缩量回踩11日支撑,历史触发17次"
603871,嘉友国际,13.79,-0.29%,强,64.10%,轻仓试错,"缩量回踩10日支撑,历史触发39次"
002295,精艺股份,12.7,-0.78%,极强 (一击必中),72.22%,分批建仓,"缩量回踩26日支撑,历史触发18次"
002826,易明医药,18.41,0.11%,强,60.00%,轻仓试错,"缩量回踩14日支撑,历史触发25次"
002348,高乐股份,5.98,1.87%,强,91.67%,轻仓试错,"缩量回踩36日支撑,历史触发12次"
603886,元祖股份,13.78,1.32%,强,78.95%,轻仓试错,"缩量回踩30日支撑,历史触发19次"
