股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
601083,12.35,12.56,41.1%,75.0%,80,建议观察，待放量确认,锦江航运
002654,14.08,14.0,31.8%,100.0%,80,建议观察，待放量确认,万润科技
002370,6.62,6.44,34.7%,51.7%,80,建议观察，待放量确认,亚太药业
600967,13.85,13.93,41.7%,100.0%,80,建议观察，待放量确认,内蒙一机
600469,6.47,6.58,44.2%,64.8%,80,建议观察，待放量确认,风神股份
601600,11.66,11.76,44.2%,50.8%,80,建议观察，待放量确认,中国铝业
603055,9.05,8.98,42.1%,100.0%,80,建议观察，待放量确认,台华新材
600299,13.8,13.61,44.7%,100.0%,80,建议观察，待放量确认,安迪苏
600682,6.71,6.55,38.3%,55.9%,80,建议观察，待放量确认,南京新百
000737,13.46,13.51,37.0%,100.0%,80,建议观察，待放量确认,北方铜业
