股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
605388,6.58,6.43,30.7%,52.6%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,均瑶健康
000913,14.7,15.0,20.1%,56.4%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,钱江摩托
