代码,名称,调整天数,单阳日,现价,筛选时间,类型
688432,有研硅,5,2026-01-16,14.37,2026-02-27 08:45:35,中势型
603328,依顿电子,5,2026-02-10,13.21,2026-02-27 08:45:35,中势型
002215,诺 普 信,5,2026-02-10,12.05,2026-02-27 08:45:35,中势型
600326,西藏天路,5,2026-02-10,11.3,2026-02-27 08:45:35,中势型
000571,新大洲A,5,2026-02-10,7.45,2026-02-27 08:45:35,中势型
000829,天音控股,5,2026-02-10,10.82,2026-02-27 08:45:35,中势型
600207,安彩高科,5,2026-02-10,5.42,2026-02-27 08:45:35,中势型
688597,煜邦电力,5,2026-01-16,9.92,2026-02-27 08:45:35,中势型
688096,京源环保,5,2026-01-15,9.35,2026-02-27 08:45:35,中势型
600668,尖峰集团,5,2026-02-10,11.59,2026-02-27 08:45:35,中势型
603162,海通发展,5,2026-02-10,15.22,2026-02-27 08:45:35,中势型
000612,焦作万方,4,2026-02-11,14.39,2026-02-27 08:45:35,中势型
688517,金冠电气,4,2026-01-19,18.05,2026-02-27 08:45:35,中势型
688156,路德环境,4,2026-01-19,19.76,2026-02-27 08:45:35,中势型
600299,安迪苏,4,2026-02-11,10.47,2026-02-27 08:45:35,中势型
000850,华茂股份,4,2026-02-11,5.84,2026-02-27 08:45:35,中势型
002340,格林美,4,2026-02-11,9.84,2026-02-27 08:45:35,中势型
000582,北部湾港,4,2026-02-11,10.6,2026-02-27 08:45:35,中势型
002012,凯恩股份,4,2026-02-11,7.38,2026-02-27 08:45:35,中势型
600295,鄂尔多斯,4,2026-02-11,16.34,2026-02-27 08:45:35,中势型
002131,利欧股份,3,2026-02-12,9.34,2026-02-27 08:45:35,强势型
002448,中原内配,3,2026-02-12,16.12,2026-02-27 08:45:35,强势型
600397,江钨装备,2,2026-02-13,18.74,2026-02-27 08:45:35,强势型
601777,千里科技,2,2026-02-13,11.39,2026-02-27 08:45:35,强势型
603861,白云电器,1,2026-02-24,18.13,2026-02-27 08:45:35,强势型
000811,冰轮环境,1,2026-02-24,19.13,2026-02-27 08:45:35,强势型
600667,太极实业,1,2026-02-24,10.8,2026-02-27 08:45:35,强势型
603466,风语筑,1,2026-02-24,12.97,2026-02-27 08:45:35,强势型
002283,天润工业,1,2026-02-24,10.05,2026-02-27 08:45:35,强势型
603002,宏昌电子,1,2026-02-24,11.54,2026-02-27 08:45:35,强势型
600916,中国黄金,1,2026-02-24,11.59,2026-02-27 08:45:35,强势型
600470,六国化工,1,2026-02-24,7.84,2026-02-27 08:45:35,强势型
002478,常宝股份,1,2026-02-24,11.55,2026-02-27 08:45:35,强势型
603601,再升科技,1,2026-02-24,13.02,2026-02-27 08:45:35,强势型
603588,高能环境,1,2026-02-24,11.69,2026-02-27 08:45:35,强势型
603330,天洋新材,1,2026-02-24,8.2,2026-02-27 08:45:35,强势型
600869,远东股份,1,2026-02-24,14.26,2026-02-27 08:45:35,强势型
