股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
603278,12.54,12.29,32.8%,52.9%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,大业股份
603633,8.07,8.08,37.3%,56.2%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,徕木股份
002772,12.61,12.29,39.5%,69.2%,80,建议观察，待放量确认,众兴菌业
603528,6.51,6.55,38.9%,51.1%,80,建议观察，待放量确认,多伦科技
603138,15.87,16.01,33.3%,75.0%,80,建议观察，待放量确认,海量数据
601666,8.43,8.46,36.2%,100.0%,80,建议观察，待放量确认,平煤股份
002658,7.92,7.74,41.9%,54.5%,80,建议观察，待放量确认,雪迪龙
601001,18.94,18.42,43.5%,50.3%,80,建议观察，待放量确认,晋控煤业
002255,9.36,9.22,43.9%,56.2%,80,建议观察，待放量确认,海陆重工
600163,5.63,5.68,39.2%,53.8%,80,建议观察，待放量确认,中闽能源
002452,11.05,10.74,26.7%,80.0%,80,建议观察，待放量确认,长高电新
