股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
002786,8.0,8.0,41.2%,100.0%,80,建议观察，待放量确认,银宝山新
002892,10.02,9.88,41.1%,56.1%,80,建议观察，待放量确认,科力尔
603138,15.7,16.01,41.8%,75.0%,80,建议观察，待放量确认,海量数据
002658,7.87,7.74,39.7%,54.5%,80,建议观察，待放量确认,雪迪龙
